npc_shoco_0000_0000;¡Choco-bocos-días!
npc_shoco_0000_0001;¡Choco-boco-qué-tal!
npc_shoco_0000_0002;¡Choco-boco-holita!
npc_shoco_0000_0003;¡Echad un vistazo!
npc_shoco_0000_0004;¿Qué tal vuestras aventuras?
npc_shoco_0000_0005;Venid por aquí si necesitáis suministros.
npc_shoco_0000_0006;¿Por qué no os aprovisionáis antes de regresar a Grymoire?
npc_shoco_0000_0007;Hola. ¿Qué queréis?
npc_shoco_0000_0008;Suelo reponer mis existencias de prismas vacíos.
npc_shoco_0000_0009;Hay que sonreír a la vida, ¡da igual la hora del día!
npc_shoco_0000_0010;¿Que actúo diferente? ¡Paparruchas! Solo quiero tomarme mi negocio en serio.
npc_shoco_0000_0011;♪ Cruza dimensiones por ocio... la chica del negocio. ♪
npc_shoco_0000_0012;Estaré por aquí si me necesitáis, y por allí si no.
npc_shoco_0000_0013;¿En quién podéis confiar si la cosa se pone fea?
npc_shoco_0000_0014;Pon a Chocolatte en tu vida para rebosar alegría.
npc_shoco_0000_0015;No me moveré de aquí, llueva, truene o granice... ¡de limón, ja!
npc_shoco_0000_0016;¡Adivinad quién tiene unos nuevos objetos chocolucinantes!
npc_shoco_0000_0017;Lo mejor está por venir, ¿o ya está en mi tienda?
npc_shoco_0000_0018;¡Choco-boco-lina! Vaya, me ha vuelto a salir sin querer.
npc_shoco_0000_0019;¿Qué ha ocurrido? Parecéis tristes.
npc_shoco_0000_0020;¡Bienvenidos al chocosúper!
npc_shoco_0000_0021;¡Bienvenidos al Mercachocona!
npc_shoco_0000_0022;¡Bienvenidos al Chocorrastrillo!
npc_shoco_0000_0023;¿En qué os puedo ayudar?
npc_shoco_0000_0024;¿Choco-boco...?
npc_shoco_0000_0025;¡Gracias!
npc_shoco_0000_0026;Tened un buen día.
npc_shoco_0000_0027;¡Choco-boco-luego!
npc_shoco_0000_0028;Vaya, vaya...
npc_shoco_0000_0029;Me temo que no tenéis suficiente espacio.
npc_shoco_0000_0030;Pena, penita, pena, pero no tenéis guiles suficientes.
npc_shoco_0000_0031;¡Buena suerte!
npc_shoco_0000_0032;¡Ánimo y al toro!
npc_shoco_0000_0033;¡A por ellos!
