npc_heishi_0000_0000;¡Ah! Hola de nuevo.
npc_heishi_0000_0001;¿Qué?
npc_heishi_0000_0002;Soy el hombre al que conocisteis en la prisión subterránea.
npc_heishi_0000_0003;¡Hala! Tienes otro aire.
npc_heishi_0000_0004;Tuvimos que engañar a la Federación hasta que nos libramos de su yugo... Por eso no pudimos contaros el plan. Lo siento.
npc_heishi_0000_0005;Ya casi lo hemos superado.
npc_heishi_0000_0006;Bien, ¡me alegro! Fígaro os debe una. Muchas gracias.
npc_heishi_0001_0000;Por cierto, ¿habéis estado ya en Nibelheim, en la región de Babil?
npc_heishi_0001_0001;Os lo pregunto porque no sé si sabéis que Shinra desarrolló la tecnología para construir Nibelheim... estudiando Midgar.
npc_heishi_0001_0002;¡Ah! Claro, ahora entiendo el parecido.
npc_heishi_0001_0003;En ese preciso lugar se encontraba antes el pueblo de Mist, hasta que los valles de fuego provocaron aquel terrible incendio.
npc_heishi_0001_0004;Pero Shinra acudió en ayuda de la gente. Construyeron instalaciones que se alimentan de ese mismo fuego. Supongo que aprendieron mucho de Midgar.
npc_heishi_0001_0005;Tuvo que ser impresionante.
npc_heishi_0001_0006;Aunque he oído que los ingenieros encargados... desaparecieron. Una pérdida lamentable.
npc_heishi_0002_0000;¿Qué tal van vuestras aventuras?
npc_heishi_0002_0001;¡No temáis! Aquí sabemos arreglárnoslas solos.
npc_heishi_0003_0000;La gente de Fígaro es más dura de lo que pensáis.
npc_heishi_0003_0001;Los habitantes del desierto vemos a muchos como estos. Sí. Lo creáis o no, estamos acostumbrados a tratar con ellos.
