npc_quistis_0000_0000_dummy;3221225472
npc_quistis_0000_0001_dummy;3221225472
npc_quistis_0000_0002_dummy;3221225472
npc_quistis_0000_0003_dummy;3221225472
npc_quistis_0000_0004_dummy;3221225472
npc_quistis_0000_0005_dummy;3221225472
npc_quistis_0000_0000;Buena suerte.
npc_quistis_0000_0001;Leed el manual para aprender a controlar el barco volador.
npc_quistis_0000_0002;Lo siento, ando algo ocupada ahora mismo.
npc_quistis_0000_0003;La próxima tarea es...
npc_quistis_0000_0004;¿Qué tal estáis?
npc_quistis_0000_0005;Hemos de proteger este mundo a toda costa.
npc_quistis_0001_0000;Perdonadme, pero debido a unos sucesos recientes, me es más complicado permitiros que campéis a vuestras anchas por aquí.
npc_quistis_0002_0000;¿Quizá todas las instalaciones de este mundo que cuentan con tecnología avanzada sean, en realidad, un mirage antiguo?
npc_quistis_0003_0000;Las máquinas que os encontrasteis en Midgar, bajo el Castillo de Fígaro, fueron descubiertas en realidad en el Jardín de Balamb.
npc_quistis_0003_0001;Pensamos que protegerían a los investigadores de Shinra contra los mirages mientras trabajaban.
npc_quistis_0003_0002;Jamás se las habríamos prestado si hubiéramos sabido lo que sucedería.
npc_quistis_0003_0003;Pero eso es agua pasada y no podemos hacer nada al respecto, tan solo no cometer dos veces el mismo error.
npc_quistis_0004_0000;Hace tiempo decidí que quería convertirme en instructora.
npc_quistis_0004_0001;Ni en sueños habría pensado que acabaría en este Jardín de Balamb, luchando codo con codo con la Liga de los S para salvar el mundo.
npc_quistis_0004_0002;La vida es una caja de sorpresas, ¿a que sí?
