npc_sido_0000_0000;Estoy en proceso de lectura, no me molestéis.
npc_sido_0000_0001;Lectura interrumpida... No me habléis, por fa... ¡Biiip!
npc_sido_0000_0002;No os preocupéis por el pueblo. Celes y yo lo protegeremos.
npc_sido_0000_0003;¡Por mis tornillos que defenderé estos libros!
npc_sido_0001_0000;Si la textura de un mirage no se asemeja a la de un pezqueco, ¡atacad sin compasión!
npc_sido_0001_0001;¿Eh? No me miréis así. Soy humano de los pies a la placa base.
npc_sido_0002_0000;3221225472
npc_sido_0002_0001;¡Ah!
npc_sido_0002_0002;¡Pum!
npc_sido_0003_0000;Celes y yo nacimos en el mismo pueblo. Sin embargo, ese pueblo desapareció hace tiempo.
npc_sido_0003_0001;Nuestro pueblo, a cuyo ejército pertenecíamos Celes y yo, guardaba buenas relaciones con la Federación.
npc_sido_0003_0002;Supongo que se trataba de uno de tantos puestos fronterizos.
npc_sido_0003_0003;Por desgracia, Celes era una soldado excepcional y captó el interés de Segwarides.
npc_sido_0003_0004;Me enteré mucho más tarde, pero participó por su voluntad en los experimentos de la Federación para proteger así mi mansión.
npc_sido_0003_0005;Cuando confirmé la verdad, me adentré en la catedral y procedí a rescatarla, aunque resulté <QUOT>ligeramente<QUOT> herido durante la huida.
npc_sido_0003_0006;Pero no seamos negativos: ¡al menos he conseguido este nuevo hardware! Puedo leer de día y de noche y no he de apagar el sistema, ja, ja.
