npc_tama_0000_0000;Grymoire os está esperando.
npc_tama_0000_0001;De vez en cuando es todo un gustito poder descansar.
npc_tama_0000_0002;Serafie se encarga de almacenar y vigilar vuestros prismáriums.
npc_tama_0000_0003;¿Qué? Oh, nooo, ¡para nada estaba soñando despierta!
npc_tama_0000_0004;No creo que pueda atravesar esta puertecita. Por alguna razón, algo me lo impide.
npc_tama_0000_0005;Zzz...
npc_tama_0000_0006;Zzz...
npc_tama_0001_0000;Qué rarito. Tengo la sensación de haberos echado de menos. No tiene sentido.
npc_tama_0001_0001;Bueno, es una historia muy larga.
npc_tama_0001_0002;¿Qué tal si me la cuentas con más detalle?
npc_tama_0002_0000;No sé por qué, pero estoy la mar de contentita de veros de nuevo. Me siento radiante.
npc_tama_0002_0001;La, la, la...
npc_tama_0002_0002;Radiante, quizá porque Serafie me está regando y mi piel reluce...
