npc_tifa_0000_0000;Por aquí.
npc_tifa_0001_0000;Hace tiempo, aquí se ubicaba un pueblo llamado Mist, pero un terrible desastre lo asoló por completo.
npc_tifa_0001_0001;Más tarde, una compañía llamada Shinra se ofreció a ayudar en su reconstrucción.
npc_tifa_0001_0002;Qué de cambios puede traer una década... Apenas se puede reconocer lo que antaño fue Mist.
npc_tifa_0002_0000;Tened cuidado.
npc_tifa_0002_0001;¿Qué tal os va?
npc_tifa_0002_0002;Me alegra saber que Rydia está bien.
npc_tifa_0003_0000;¿Sabíais que Cloud y yo crecimos juntos?
npc_tifa_0003_0001;Al principio no estaba segura, pero el pelo a lo chocobo es bastante obvio.
npc_tifa_0003_0002;Ha cambiado mucho desde aquella época, y cuando digo mucho no exagero en absoluto.
npc_tifa_0003_0003;De todas formas, le eché valor y me puse a hablar con él. Era mi amigo de la infancia, sin lugar a dudas.
npc_tifa_0003_0004;El caso es que sufrió una pérdida terrible. Un episodio muy triste en su vida.
npc_tifa_0003_0005;Ojalá hubiese estado allí para ayudarle en esos momentos tan duros.
npc_tifa_0003_0006;Ayudarle como amiga, ¡claro! No es que yo... Bueno, olvidadlo.
