npc_tonberry_0000_0000;¿En qué os puedo ayudar?
npc_tonberry_0000_0001;¿Sí? ¿Qué queréis?
npc_tonberry_0000_0002;Elegid.
npc_tonberry_0000_0003;Decidme qué queréis.
npc_tonberry_0000_0004;Como si fuera vuestra casa.
npc_tonberry_0000_0005;Hemos de estarle agradecidos.
npc_tonberry_0000_0006;Volved cuando queráis.
npc_tonberry_0000_0007;Lo siento mucho.
npc_tonberry_0000_0008;Es importante saber cuáles son vuestros límites.
npc_tonberry_0000_0009;¿Queréis entrenar?
npc_tonberry_0000_0010;¿Qué mirage tenéis en mente?
npc_tonberry_0000_0011;¿En qué tipo de combate queréis luchar?
npc_tonberry_0000_0012;¿A quién buscáis?
npc_tonberry_0000_0013;¡Bienvenidos!
npc_tonberry_0000_0014;Empecemos.
npc_tonberry_0000_0015;Eso es todo.
npc_tonberry_0000_0016;¿Queréis continuar?
npc_tonberry_0000_0017;Hasta otra.
npc_tonberry_0000_0018;¡Así se hace!
npc_tonberry_0000_0019;Qué pena...
npc_tonberry_0000_0020;Tomad, para vosotros.
npc_tonberry_0000_0021;¿Qué preferís?
npc_tonberry_0000_0022;Como digáis.
npc_tonberry_0000_0023;¿Ya tiráis la toalla?
npc_tonberry_0000_0024;Ah...
npc_tonberry_0000_0025;Bueno...
npc_tonberry_0000_0026;Mmm...
npc_tonberry_0000_0027;Muy bien.
npc_tonberry_0000_0028;Vaya, una pena.
npc_tonberry_0000_0029;¡Tenemos una nueva atracción!
npc_tonberry_0000_0030;Hay nuevos mirages disponibles.
npc_tonberry_0000_0031;Habéis aumentado de rango.
npc_tonberry_0000_0032;Habéis bajado de rango.
npc_tonberry_0000_0033;¿Queréis acceder al Coliseo?
npc_tonberry_0000_0034;Por aquí.
npc_tonberry_0000_0035;Como queráis.
npc_tonberry_0000_0036;¿Ir al Coliseo?
npc_tonberry_0000_0037;Sí
npc_tonberry_0000_0038;No
npc_tonberry_0000_0039;¿Qué quieres hacer?
npc_tonberry_0000_0040;Luchar en el Coliseo
npc_tonberry_0000_0041;Abandonar el Coliseo
npc_tonberry_0000_0042;Nada
npc_tonberry_0000_0043;¿Quieres abandonar el Coliseo?
npc_tonberry_0000_0044;Sí
npc_tonberry_0000_0045;No
npc_tonberry_0000_0046;Consultar las reglas del Coliseo
