npc_undead_0000_0000;¿Qué?
npc_undead_0000_0001;¡Vamos!
npc_undead_0000_0002;¡Adelante!
npc_undead_0000_0003;Largaos...
npc_undead_0000_0004;Uy, lo siento.
npc_undead_0000_0005;¡Bienvenidos al refugio que os helará el corazón!... Es decir, que... ¡os calentará el corazón!
npc_undead_0000_0006;¿Buscáis un refugio? ¡Yo iría sin dudar al establecimiento de la señora Sherlotta!
npc_undead_0001_0000;¿Eh? Un momento. Vosotros sois los custodios de mirages tan amigos de mi patrona.
npc_undead_0001_0001;Buenas, ¿puedo ayudaros?
npc_undead_0001_0002;Ah, queréis llevaros un buen susto.
npc_undead_0001_0003;¡Yaaah!
npc_undead_0001_0004;Pero... la verdad es que preferiría no hacerlo. Las marcas de expresión se acentúan haciendo cosas como estas, y además los animadores tampoco es que se lo hayan currado mucho, así que... Volvamos al tajo. ¡Hastalué!
npc_undead_0001_0005;¿Os atrevéis a retarme a un duelo? Yo os enseñaré lo que es pasar miedo...
npc_undead_0001_0006;Espero que no me guardéis rencor... cuando estéis muertos.
npc_undead_0001_0007;Por cierto, ¿os había dicho que no podéis matarme?
npc_undead_0001_0008;¡Oh, gracias! ¡Ahora mi alma podrá descansar!
npc_undead_0001_0009;Pfff... ¡O no!
npc_undead_0002_0000;¡Ver muecas!
npc_undead_0002_0001;Combatir
npc_undead_0002_0002;Nada...
npc_undead_0002_0003;¿Ahora qué?
