npc_wol_0000_0000;Podemos empezar cuando queráis.
npc_wol_0000_0001;Por ahora reina la paz.
npc_wol_0000_0002;Yo permaneceré aquí, así que no tenéis de qué preocuparos.
npc_wol_0000_0003;Acaban de llegar agentes de la Liga de los S para ayudarnos.
npc_wol_0000_0004;Ya me encargo yo.
npc_wol_0000_0005;Los daemonbots...
npc_wol_0000_0006;Perdonadme, pero he de permanecer aquí. Espero que lo entendáis.
npc_wol_0000_0007;Desde aquella refriega, la Federación nos ha dejado en paz.
npc_wol_0000_0008;Aunque los duendes no hayan provocado problemas, no podemos bajar la guardia.
npc_wol_0001_0000;El otro día cometí el error de ir a investigar el campamento de los duendes.
npc_wol_0001_0001;Prefiero no hablar de ello, si no os importa.
npc_wol_0002_0000;Sí, he oído las noticias. Habéis superado muchas adversidades.
npc_wol_0002_0001;Sin embargo, gracias a vosotros Cornelia ha conseguido ponerse en contacto con la Liga de los S.
npc_wol_0002_0002;Os estamos agradecidos.
