CHARACTER_JITEN_01_VOICEACTOR;Voz inglesa por Josh Keaton[~]Voz japonesa por Soma Saito
CHARACTER_JITEN_01_ORIGINAL;Mundo de origen[~]World of Final Fantasy
CHARACTER_JITEN_01_1;[#ff368c79]Edad en Colina Nonarboleda[/#][~]15 años[~][~][#ff368c79]Características[/#][~]El hermano de Reynn tiene una marca en el brazo izquierdo y usa constantemente expresiones como <QUOT>¡Qué fuerte!<QUOT>. Parece un poco alocado a veces, pero se puede contar con él. Suele usar mal palabras que no entiende pero que le suenan bien.[~]
CHARACTER_JITEN_01_2;[#ff368c79]Personalidad[/#][~]Lann da la impresión de ser un tanto bobalicón, pero tiene un gran corazón, es responsable cuando resulta necesario y antepone su familia a cualquier otra cosa. Suele situarse siempre entre el peligro y su hermana, lo cual demuestra que valora más la vida de ella que la suya propia.[~]
CHARACTER_JITEN_01_3;"[#ff368c79]Recuerdos de hace 100 años[/#][~]Si simplemente hubiesen olvidado su pasado, Lann y Reynn quizá podrían recordarlo
CHARACTER_JITEN_01_4;[#ff368c79]El futuro de Lann[/#][~]Gracias a sus hazañas en Grymoire, Reynn y Lann han demostrado su valía y han ascendido al panteón de los héroes al servicio de los mundos A, planetas ubicados en reinos de fantasía y controlados por una entidad divina conocida como Alejandro. Quizá volvamos a encontrarnos a los gemelos, ya sea en uno o en varios de estos mundos.
CHARACTER_JITEN_02_VOICEACTOR;Voz inglesa por Amanda Leighton[~]Voz japonesa por Sora Amamiya
CHARACTER_JITEN_02_ORIGINAL;Mundo de origen[~]World of Final Fantasy
CHARACTER_JITEN_02_1;[#ff368c79]Edad en Colina Nonarboleda[/#][~]15 años[~][~][#ff368c79]Características[/#][~]La hermana de Lann tiene una marca en el brazo derecho, grandes dotes de mando y le gusta hacerse respetar, especialmente por su hermano pequeño. Es capaz de tomar decisiones sensatas con rapidez, aunque no siempre lo suficiente como para compensar las sandeces y bobadas de su hermano.[~]
CHARACTER_JITEN_02_2;[#ff368c79]La atenta mirada de Enna Kros[/#][~]La misteriosa Enna Kros afirma haber estado observando a Reynn y Lann durante el letargo de los gemelos en Colina Nonarboleda, pero ¿por qué lo ha hecho? ¿Acaso algún vínculo especial la une a ellos?[~]
CHARACTER_JITEN_02_3;"[#ff368c79]Los elegidos[/#][~]A pesar de su gran fortaleza física y emocional, Reynn no es invencible. La pérdida de Lann supuso un golpe muy duro para ella, pero logró encontrar el modo de superar el dolor y seguir adelante
CHARACTER_JITEN_02_4;[#ff368c79]El futuro de Reynn[/#][~]Las versiones de Reynn y Lann que recibió Hauyn en los prismáriums han resultado ser protectores. Pero ¿qué ha sido de los hermanos que desaparecieron a través del portal? Quizá algún día lo sepamos.
CHARACTER_JITEN_03_VOICEACTOR;Voz inglesa por Cassandra Morris[~]Voz japonesa por Kana Hanazawa
CHARACTER_JITEN_03_ORIGINAL;Mundo de origen[~]World of Final Fantasy (apócrifo)
CHARACTER_JITEN_03_1;[#ff368c79]Supuesta edad[/#][~]24 años, ni uno más ni uno menos, o eso afirma.[~][~][#ff368c79]Características[/#][~]Una chica simpática y risueña cuya sinceridad es tal que espeta las verdades más sorprendentes con una sonrisa y parsimonia asombrosas, por lo que es complicado adivinar si lo que cuenta es cierto o no. Es amiga de Tama y Serafie desde tiempos inmemoriales.[~]
CHARACTER_JITEN_03_2;"[#ff368c79]Una diosa[/#][~]Aunque algunos piensan que no es más que una mujer graciosa con complejo de dios, lo cierto es que fue ella quien creó Grymoire y otros mundos de fantasía. Es quien toma las decisiones importantes y fija las reglas en sus mundos, aunque no le gusta intervenir una vez que están establecidas. Los dioses nunca se equivocan
CHARACTER_JITEN_03_3;[#ff368c79]Mundos de fantasía[/#][~]Para dar forma a sus mundos, Enna Kros busca y copia detalles de mundos de otras dimensiones y los añade a sus creaciones. Su sistema de protectores también fue instaurado de ese modo. Enna Kros ya conocía a la chica sin nombre antes de empezar a usar el poder de la fantasía para crear sus mundos, y mantiene con ella una gran amistad. ¡Se topó con ella en el mismísimo núcleo de ese poder![~]
CHARACTER_JITEN_03_4;[#ff368c79]Los protectores[/#][~]En lo más profundo de los mundos creados por Enna Kros existe un cristal que la chica sin nombre ha bautizado como Crystallum Deus. Ese cristal es producto de la fantasía y, como tal, es capaz de desplazarse místicamente a otros mundos con los que no tiene ninguna conexión lógica. Enna Kros (más conocida como Alejandro) analiza y filtra las hebras del Crystallum Deus en busca de almas con el poder suficiente para proteger sus mundos de amenazas como los caballeros Exnueve o los daemonbots. Cuando encuentra alguna, la transforma en un cristal cúbico, una especie de anticuerpo que se activa cuando el mundo percibe alguna amenaza externa. Así fue como creó a los protectores.[~]
CHARACTER_JITEN_03_5;[#ff368c79]Alejandro y Enna Kros[/#][~]La mujer llamada Enna Kros no es la verdadera forma del dios Alejandro, sino la encarnación de una soldado llamada Roksanne que existía antes de la creación de los mundos de fantasía. A Alejandro le gustó el espíritu de Roksanne y, en lugar de absorberlo simplemente, decidió unirse con él, hecho que sucedió poco después de que Roksanne invocase a Tama. De todos es sabido que los caminos de un dios son inescrutables, y aunque Alejandro disfruta mucho de la vida como Roksanne, también adopta a veces la apariencia de un aguerrido joven llamado Arist, que a su vez fue el primer invocador de Serafie. Eso explica que, según el mundo A en el que uno se encuentre, se pueda ver al mismo dios con aspectos distintos.
CHARACTER_JITEN_04_VOICEACTOR;Voz inglesa por Lisa Kay Jennings[~]Voz japonesa por Ayana Taketatsu
CHARACTER_JITEN_04_ORIGINAL;Mundo de origen[~]World of Final Fantasy (apócrifo)
CHARACTER_JITEN_04_1;[#ff368c79]Edad[/#][~]Incalculable, debido a su interpretación del tiempo.[~][~][#ff368c79]Características[/#][~]Es capaz de flotar, le gustan los diminutivos y sabe cómo seguir un chiste, aunque en el fondo es muy inocente. Le encanta sentarse sobre la cabeza de los demás.[~]
CHARACTER_JITEN_04_2;[#ff368c79]Área de influencia[/#][~]Tama tiene control sobre un gran número de dominios y puede usar numerosas habilidades, pero según el mundo que visite, solo puede utilizar unas pocas. En Grymoire, por ejemplo, Tama gestiona la red de portales de teletransporte y es capaz de efectuar pequeños saltos atrás en el tiempo y lograr que Reynn y Lann no pierdan un combate o eviten cometer otro tipo de errores. Para hacer uso de ese poder cuasidivino de retroceder en el tiempo, Tama ha de emplear vidas o almas. Eso explica que sea tan reticente a hacerlo con frecuencia.[~]
CHARACTER_JITEN_04_3;[#ff368c79]Relación con Enna Kros[/#][~]Tama posee poderes mucho mayores de lo que aparenta por su tamaño y conocía a Enna Kros mucho antes de que esta se transformase en diosa.[~]
CHARACTER_JITEN_04_4;[#ff368c79]Tamamohime[/#][~]Tamamohime es la majestuosa manifestación del inmenso poder que Tama ha ido acumulando a lo largo de su prolongada existencia. Gracias a la capacidad de alterar el tiempo y al poder de la fantasía que toma prestado de la chica sin nombre, es capaz de proezas que, de otro modo, estarían fuera de su alcance. Como además es capaz de recuperar sus nueve almas en menos de un día, puede gastarlas casi a su antojo. Con esta forma, Tama es más deidad y menos mirage, y Reynn y Lann no podrían capturarla contra su voluntad.
CHARACTER_JITEN_05_VOICEACTOR;Voz inglesa por Nancy Sullivan[~]Voz japonesa por Eri Kitamura
CHARACTER_JITEN_05_ORIGINAL;Mundo de origen[~]World of Final Fantasy (apócrifo)
CHARACTER_JITEN_05_1;[#ff368c79]Edad[/#][~]Incalculable[~][~][#ff368c79]Características[/#][~]Este ser volador, que suele llevar una regadera consigo (¿para qué?), disimula bien su entusiasmo y su alegría. Afirma ser el hada favorita de todo el mundo, tiene el don de la ubicuidad y no se sabe nunca lo que está pensando.[~]
CHARACTER_JITEN_05_2;[#ff368c79]Viejas amigas[/#][~]Tras esa fachada de hada relajada se esconde... un hada muy relajada. Al igual que Tama, su relación con Enna Kros se remonta a muchos, muchos años atrás, antes de que Roksanne se transformase en diosa. De ahí que también conozca a Tama desde hace mucho tiempo.[~]
CHARACTER_JITEN_05_3;[#ff368c79]Radio macuto[/#][~]Gracias a sus poderes especiales, Serafie es capaz de recopilar chismes de todo tipo: leyendas antiguas y rumores recientes, información seria y cotilleos inútiles, de lugares muy lejanos o de amistades cercanas. Basta con que alguien haya dicho algo, aunque fuese en un susurro, para que Serafie pueda recuperarlo, incluso a través del tiempo, y <QUOT>pescarlo<QUOT> para escucharlo de nuevo. Aunque ella no sea consciente de ello, ese poder es asombroso.[~]
CHARACTER_JITEN_05_4;"[#ff368c79]Biblioteca flotante[/#][~]Serafie tiene una memoria eidética y almacena recuerdos con tal detalle y desde hace tanto tiempo que la sabiduría de la que dispone es sencillamente inconmensurable. Sin embargo, rara vez la utiliza
CHARACTER_JITEN_06_VOICEACTOR;Voz inglesa por Eden Riegel[~]Voz japonesa por Maaya Uchida
