ev00_0040_0000;¡A las buenas!
ev00_0040_0001;¿Eh? ¿Cómo ha entrado si no hay ningún compañero?
ev00_0040_0002;Buenos días. Espero que no haya estado esperando mucho tiempo, perdón.
ev00_0040_0003;¡Ah, ahora le traigo un vaso de agua!
ev00_0040_0004;No hace falta. Preferiría una jarra de... Digo un café, perdona.
ev00_0040_0005;Ah, y trae también el tarro de azúcar, que necesito mucha.
ev00_0040_0006;Muy bien. Un café y un tarro de azúcar bien lleno.
ev00_0040_0007;Pero bueno, ¿nadie ha preparado aún el café? Ya les vale...
ev00_0040_0008;Perdóneme, pero va a tardar un rato.
ev00_0040_0009;No te preocupes. Tiempo tengo de sobra.
ev00_0040_0010;Aquí tiene.
ev00_0040_0011;Gracias.
ev00_0040_0012;¡Eh, Lann!
ev00_0040_0013;¡No pegues esos gritos, Reynn! Compórtate un poco.
ev00_0040_0014;Eh, no pretendas aleccionarme. Si no recuerdo mal, soy tu hermana mayor, aunque naciera tan solo unos minutos antes.
ev00_0040_0015;Hala, pues grita todo lo que quieras. Perdone las molestias.
ev00_0040_0015_1;3221225472
ev00_0040_0016;¿Qué querías? Soy tooodo oídos.
ev00_0040_0017;Tampoco hace falta que te pases de lis...
ev00_0040_0018;Y tanto que eres todo oídos...
ev00_0040_0019;¿Qué dices?
ev00_0040_0020;Nada, olvídalo. Dime, ¿has visto a alguien esta mañana?
ev00_0040_0021;Claro que sí. Estoy hablando contigo, ¿no? Y también está aquella clienta.
ev00_0040_0022;¿Qué?
ev00_0040_0023;Ah, ¡ho-hola!
ev00_0040_0024;¿No la habías visto? Anda que...
ev00_0040_0025;Sí, pero... Bah, calla. Ven conmigo.
ev00_0040_0026;¡Eh, tranqui!
