ev01_0010_0000;Capítulo I
ev01_0010_0000_1;3221225472
ev01_0010_0000_2;3221225472
ev01_0010_0000_3;El mundo de los pezquecos
ev01_0010_0001;¿Hemos llegado a Grymoire entonces?
ev01_0010_0002;¡Hala!
ev01_0010_0003;3221225472
ev01_0010_0003_1;Ja, ja, ja. ¡Lann, tienes una apariencia muy rara!
ev01_0010_0004;3221225472
ev01_0010_0004_2;Je, je. Ja, ja, ja. Pues anda que tú...
ev01_0010_0004_1;¿Qué?
ev01_0010_0005;No os preocupéis. Seguro que es la apariencia de los habitantes de este mundito.
ev01_0010_0006;Enna Kros prefirió que no llamarais demasiado la atención aquí.
ev01_0010_0007;¿Es tan poderosa como para hacer algo así?
ev01_0010_0008;¡Qué pasada!
ev01_0010_0009;Mejor, así la gente no se quedará boquiabierta mirando nuestros brazos.
ev01_0010_0010;Siempre le ves el lado positivo a todo.
ev01_0010_0011;<QUOT>Pezquecos y kolosos<QUOT>
ev01_0010_0012;En este mundo puedes cambiar entre ambas apariencias a voluntad: pezqueco y koloso.
ev01_0010_0013;Pon a prueba ambas apariencias según tus preferencias o las diversas situaciones.
