ev01_0016_0000;¿Y ahora qué?
ev01_0016_0001;Antes de nada, necesitaréis esto.
ev01_0016_0002;Se parece bastante a un prismárium. ¿Qué es?
ev01_0016_0003;Es un prisma, y lo necesitáis para crear el prismárium de chocobito.
ev01_0016_0004;Cada vez que os encontréis con un nuevo mirage, este quedará registradito en la miragepedia creada por Enna Kros.
ev01_0016_0004_1;3221225472
ev01_0016_0004_2;3221225472
ev01_0016_0005;¡Qué fuerte! ¿Tiene ilustraciones?
ev01_0016_0006;¡Por supuestito! Y cada vez que registréis un nuevo mirage, recibiréis su prisma correspondiente, pero tan solo la primera vez.
ev01_0016_0006_1;3221225472
ev01_0016_0006_2;3221225472
ev01_0016_0007;Venga, intentad debilitar al chocobito y, luego, usad el prisma.
