ev01_0080_0000;¡Arg!
ev01_0080_0001;¡Uuf!
ev01_0080_0002;¡Au!
ev01_0080_0003;¡Vaya! ¿Ya habéis fenecido?
ev01_0080_0004;¿Fenequé? ¿Significa <QUOT>muerto<QUOT>? ¡No puede ser!
ev01_0080_0005;¿Por qué no? Ese mirage nos propinó una buena paliza.
ev01_0080_0006;Pues yo sigo vivito y coleando.
ev01_0080_0007;Claro, porque alguien intervino en el momento adecuado para hacer como si el combate no hubiera tenido lugar.
ev01_0080_0008;3221225472
ev01_0080_0009;Hala, ¿puedes hacer algo así?
ev01_0080_0010;Por supuesto, aunque es Tama quien lo hace.
ev01_0080_0011;Ciertito. Poseo el poder de hacer retroceder un poco el tiempo y, así, rescataros si estáis en peligro.
ev01_0080_0012;Sin embargo, necesito una vidita para hacerlo, así que espero que no os importe si descanso un poco.
ev01_0080_0013;¿Una vida?
ev01_0080_0014;Sé que parece increíble, pero tengo varias vidas. Acabo de gastar una para retroceder en el tiempecito y salvaros.
ev01_0080_0015;Me lo enseñó una chica con un lazo en la cabeza que se me aparece en sueños.
ev01_0080_0016;No entiendo ni papa de cómo lo consigues, Tama, ¡pero es una pasada!
ev01_0080_0017;Muchas gracias.
ev01_0080_0018;Pero tened en cuentita que mis poderes tan solo sirven para protegeros a vosotros dos.
ev01_0080_0019;Y solo en caso de que os derroten en un combate como el anterior.
ev01_0080_0020;Ah, otra cosa: puedo recuperar las vidas que pierda si me dejáis descansar aquí un poco.
ev01_0080_0021;En caso de perder, no os olvidéis de venir aquí y dejadme que me tome una pausa.
ev01_0080_0022;¡Vale, vale! Hala, a descansar se ha dicho.
ev01_0080_0023;¡Oído cocinita!
ev01_0080_0024;Muchas gracias, Tama. Te debemos una.
ev01_0080_0025;Sobre todo Lann, que actuó de forma impetuosa y se lanzó a combatir sin hacerte caso.
ev01_0080_0026;Eh... Je, je...
ev01_0080_0027;Eh, ¿quién es esa?
ev01_0080_0028;Ah, sí. Si te refieres a la nueva visitante, afirma haberse perdido.
ev01_0080_0029;Id a hablar con ella. Es un tanto especial.
ev01_0080_0030;¿De veras?
ev01_0080_0031;Me pregunto, sin embargo, cómo se las habrá ingeniado para llegar aquí desde otro mundo. No es nada fácil.
ev01_0080_0032;Debe de tener experiencia en los viajes interdimensionales.
ev01_0080_0033;Vaya, ¿dónde se ha metido?
ev01_0080_0034;Creo que se metió por aquella galería.
ev01_0080_0035;Ah, ¡donde trabajo yo!
ev01_0080_0036;¡Eh, no vayáis tan deprisa!
