ev01_0090_0000;¡Choco-boco-lina! Digo...
ev01_0090_0001;¡Holi, holi, jovenzuelos! ¿Qué tal?
ev01_0090_0002;Eh... Bien, supongo.
ev01_0090_0003;Qué sitio tan bonito y tranquilo.
ev01_0090_0004;Ah, bueno...
ev01_0090_0005;Hola. ¿Cómo te llamas?
ev01_0090_0006;Ah, me podéis llamar Chocolatte.
ev01_0090_0007;He sido arrastrada aquí cual indefensa pluma por una tormenta fatídica.
ev01_0090_0008;¿Eh?
ev01_0090_0009;Tengo el don de aparecer, sin quererlo ni chocoberlo, en lugares extraños.
ev01_0090_0010;Mmm, vale.
ev01_0090_0011;¡Ah, por cierto!
ev01_0090_0012;¿Queréis comprar algo? Tengo de todo, ¡de choco-choco-todo!
ev01_0090_0013;Eh, quieta parada. ¿Nos quieres sacar los guiles?
ev01_0090_0014;Se le llama hacer negocios, joven.
ev01_0090_0015;Estáis de suerte. Me encuentro de lo más variopinto en mis idas y venidas, ¡os vendrán de chocoperlas!
