ev02_0060_0000;Un koloso...
ev02_0060_0001;Ay, leñes...
ev02_0060_0002;¿Forman parte del ejército de Bahamut?
ev02_0060_0003;Pero han espantado a los mirages...
ev02_0060_0004;Tal y como recoge la profecía.
ev02_0060_0005;¿Pero cuál?
ev02_0060_0006;Todos sabemos cómo termina la profecía, ¿no?
ev02_0060_0007;Perdonad, ¿podemos hablar?
ev02_0060_0008;¿Eh?
ev02_0060_0009;Por supuesto.
ev02_0060_0010;Ambos venís de otro mundo.
ev02_0060_0011;Bueno, no... Quiero decir...
ev02_0060_0012;¡Has dado en el clavo! Y también somos custodios de mirages, ¡flipa!
ev02_0060_0013;¡Lann, cierra esa bocaza!
ev02_0060_0014;¿Y por qué no? Molamos demasiado como para ocultarlo.
ev02_0060_0015;Mírame: ¡sudo confianza!
ev02_0060_0016;¡Se dice <QUOT>exudar<QUOT> confianza!
ev02_0060_0017;Hay una persona interesada en hablar con vosotros. ¿Seríais tan amables de pasaros por el castillo de Cornelia?
