ev02_0090_0000;¿Qué es esto?
ev02_0090_0001;Anda, ¡parece que el nexo ha funcionado!
ev02_0090_0002;¡Eh, Tama!
ev02_0090_0003;¡Es-espera!
ev02_0090_0004;¿Eh?
ev02_0090_0005;¿Estamos... de nuevo en Colina Nonarboleda?
ev02_0090_0006;Este portalito no lleva tan solo a un único lugar.
ev02_0090_0007;A lo largo y anchito de Grymoire os toparéis con zonas seguras desde las que podéis regresar aquí. Al abrirlas, estableceréis un nexo entre ambos lugares.
ev02_0090_0008;¿Y cómo los establecemos?
ev02_0090_0009;Ya has visto cómo. Tan solo tienes que acercarte, así de simple.
ev02_0090_0010;Seguro que un método de transporte tan útil tiene alguna pega, ¿no?
ev02_0090_0011;¡Para nada! Podéis usar el portalito todas las veces que queráis.
ev02_0090_0012;Por cierto, el tiempo no discurre a la misma velocidad aquí y en Grymoire.
ev02_0090_0013;Aquí podéis descansar todo lo que queráis, por urgentito que sea el suceso que tenga lugar.
ev02_0090_0014;¡Qué magia tan chula!
ev02_0090_0015;Demasiado oportuna, me parece a mí.
ev02_0090_0016;Pero piensa que... ¡podremos regresar a los sitios que hayamos visitado!
ev02_0090_0017;¡Podemos llamarlo el Regresador!
ev02_0090_0018;¿Estás de bromita? Un cero patatero a ese nombre.
ev02_0090_0019;Yo le daría un -1.
ev02_0090_0020;¡De qué vas! La peor nota es un 0.
ev02_0090_0021;¡Primicia, primicia! Presten atención.
ev02_0090_0022;¿A qué viene eso, Serafie?
ev02_0090_0023;Para vuestra información, podéis usar la Caja prismática en estos portales.
ev02_0090_0024;Ah, ya entiendo. Los portalitos son entonces esos lugares desde donde hay buena conexión, ¿no?
ev02_0090_0025;¿Qué? Ah, sí. Eso mismo.
ev02_0090_0026;Incluso dentro de las mazmorras
ev02_0090_0027;puedes cambiar tu formación, así que tenlo siempre en cuenta.
