ev03_0020_0000;Anda, ¡otro portal!
ev03_0020_0001;Sí. Los podéis encontrar en las ciudades y a la entradita de lugares plagados de mirages.
ev03_0020_0002;Así no se pierde tiempo si se quiere visitar de nuevo un lugar.
ev03_0020_0003;Cuando queráis desplazaros de un lugarcito a otro, ya sabéis: usad el portal. ¡Un buen atajo!
ev03_0020_0004;¿Un atajo?
ev03_0020_0005;Es decir, que si queremos regresar a Cornelia ahora...
ev03_0020_0006;tan solo tenemos que dirigirnos a Colina Nonarboleda con este portal y, desde allí, usar de nuevo el portal e ir a Cornelia, ¿no?
ev03_0020_0007;A eso le llamo yo un buen atajo.
ev03_0020_0008;¡Claro! Si habláramos de pelo...
ev03_0020_0009;se llamaría... Se llamaría un a-tajo.
ev03_0020_0010;Déjalo, Lann...
