ev03_0040_0000;¿Qué narices es esto?
ev03_0040_0001;¡Cuidado!
ev03_0040_0002;¡Groar!
ev03_0040_0003;Héteme esperando convergir con un insensato aventurero que se hubiera dejado llevar por la curiosidad.
ev03_0040_0004;¿Sois vosotros?
ev03_0040_0005;¡Me alegra veros de nuevo!
ev03_0040_0006;Hombre, nuestros queridos mocosos. ¿Qué tal?
ev03_0040_0007;Oye, ¿a quién llamas <QUOT>mocosos<QUOT>?
ev03_0040_0008;Lo dirá por ti, seguro.
ev03_0040_0009;No solo mocoso, sino algo tontín.
ev03_0040_0010;Je...
ev03_0040_0011;Ji, ji, ji...
ev03_0040_0012;Mua, ja, ja. ¡Igualitos que siempre!
ev03_0040_0013;¿De qué os reís, eh?
ev03_0040_0014;De lo que te cuesta seguir una conversación. Eres tan inteligente como un mono.
ev03_0040_0015;¿En serio? ¡Gracias!
ev03_0040_0016;Según parece, ya los conocemos, aunque no nos acordemos ahora mismo.
ev03_0040_0017;¿No recordáis nada sobre nosotros?
ev03_0040_0018;Ya decía yo que hacía mucho tiempo que no nos invocabais.
ev03_0040_0019;Entonces está claro lo que toca. Hemos de asegurarnos de aplicar la ley del más fuerte.
ev03_0040_0020;Si queréis controlarnos a los tres de nuevo, tendréis que demostrarnos vuestra fuerza u os aplastaremooos.
ev03_0040_0020_1;¡Os aplastaremooos!
ev03_0040_0021;Esperad, insensatos. ¿Por qué siempre tenéis que actuar de forma tan alocada?
ev03_0040_0022;¿Eh? ¿Qué quieres decir?
ev03_0040_0023;¿No os habéis percatado? No se trata de los mismos custodios de mirages de tiempo ha.
ev03_0040_0024;¿Cómo?
ev03_0040_0025;¿Eh?
ev03_0040_0026;Es verdad. Parecen... ¿Cómo podría explicarlo?
ev03_0040_0027;¿Explicar qué?
ev03_0040_0028;Si usan a Lann como referencia, apaga y vámonos.
ev03_0040_0029;Pero vámonos muy lejitos.
ev03_0040_0030;Ah, ahora caigo.
ev03_0040_0031;¿En qué?
ev03_0040_0032;Ea, ¿qué os parece si miden sus fuerzas solo contra uno de nosotros? Para que tengan alguna posibilidad.
ev03_0040_0033;Me parece ecuánime. Deliberad vuestra decisión y optad por uno de nosotros.
ev03_0040_0034;¿Elegir? ¿Para qué?
ev03_0040_0035;A pesar de haber discurrido tanto tiempo, no te has avispado.
ev03_0040_0036;Lo que queremos deciros es que no sois tan poderosos como para enfrentaros a nosotros tres. Por ello...
ev03_0040_0037;Lo he entendido. En tal caso...
ev03_0040_0038;¿Eh? Yo no lo he entendido...
ev03_0040_0039;¡Elegidme a mí! Acercaos y sentid de nuevo el abrasador calor de mis Llamas del infierno.
ev03_0040_0040;¿Queréis bailar conmigo? Mi Polvo de diamantes os dejará la piel de gallina y penetrará hasta vuestro corazón.
ev03_0040_0041;Si tan audaces sois, desafiadme. Mis Rayos de justicia impactan con tal fuerza que quiebran hasta el alma.
ev03_0040_0042a;¿Contra quién quieres enfrentarte?
ev03_0040_0042b;Ifrit
ev03_0040_0042c;Shiva
ev03_0040_0042d;Lamú
ev03_0040_0042e;¿Quieres luchar contra <STR NAME>?
ev03_0040_0042f;Sí
ev03_0040_0042g;No
ev03_0040_0000a;3221225472
ev03_0040_0000b;3221225472
