ev03_add_gimmick01_0000;Mmm... ¿La hemos fastidiado?
ev03_add_gimmick01_0001;Lann, ¿qué has hecho?
ev03_add_gimmick01_0002;De verdad, Lann...
ev03_add_gimmick01_0003;¡¿Qué?! ¿Es culpa mía?
ev03_add_gimmick01_0004;No, es bromita.
ev03_add_gimmick01_0005;¿Qué es lo que ha pasado, Tama?
ev03_add_gimmick01_0006;El mecanismo solo se activa en presencia de los elementitos correctos.
ev03_add_gimmick01_0007;Por eso, si no funciona, seguramente se deba a que no estáis usando los mirages con los elementos apropiados en las cantidades apropiaditas.
ev03_add_gimmick01_0008;Entiendo. Entonces, si los mirages que tenemos no funcionan, deberíamos capturar otros de la zona y probar con ellos.
ev03_add_gimmick01_0009;¡Buena ideíta!
ev03_add_gimmick01_0010;A ver si me entero: entonces ¿no ha sido culpa mía? ¿Soy inocente por una vez?
