ev04_0010_0000;Capítulo IV
ev04_0010_0000_1;3221225472
ev04_0010_0000_2;3221225472
ev04_0010_0000_3;La leyenda del Guerrero de la Luz
ev04_0010_0001;Vayamos a hablar con la princesa Sara.
ev04_0010_0002;¡El ejército de Bahamut!
ev04_0010_0003;¿Qué? ¿Ya han vuelto?
ev04_0010_0004;Están levantando un campamento a las afueras del pueblo.
ev04_0010_0005;¡Reynn, Lann!
ev04_0010_0006;¡Qué coincidencia! Nos disponíamos a buscaros para hablar con vos.
ev04_0010_0007;Que establezcan un campamento más allá de nuestras murallas solo puede significar que pretenden subyugarnos sin compasión.
ev04_0010_0008;¿Qué hacemos ahora?
ev04_0010_0009;Está claro que hay que coger al bégimo por los cuernos en estos casos.
ev04_0010_0010;¿Qué quieres decir?
ev04_0010_0011;¡Ataquémosles nosotros a ellos!
ev04_0010_0012;Me gusta tu idea, pero me temo que no tenemos suficientes soldados.
ev04_0010_0013;Tan solo tenéis que conseguirnos algo de tiempo.
ev04_0010_0014;¿Y eso?
ev04_0010_0015;Reynn y yo atacaremos por sorpresa a su jefe y lo derrotaremos.
ev04_0010_0016;¿Qué?
ev04_0010_0017;Mmm...
ev04_0010_0018;¿Creéis que será tan fácil?
ev04_0010_0019;Aunque no lo parezca, Lann tiene experiencia en combate.
ev04_0010_0020;Solían meterse mucho con él porque era un renacuajo.
ev04_0010_0021;¡Ni que tú fueses más alta!
ev04_0010_0022;Bueno, quizá haya exagerado al decir que era un renacuajo, pero es cierto que se metían mucho con él.
ev04_0010_0023;Creo que a los otros niños les daban miedo nuestros brazos.
ev04_0010_0024;...
ev04_0010_0025;Vaya...
ev04_0010_0026;De todas formas, estábamos orgullosos de estas marcas porque nos recordaban a nuestra madre, ¿no?
ev04_0010_0027;Supongo...
ev04_0010_0028;El caso es que se metían tanto con él que terminaban por hacerlo llorar.
ev04_0010_0029;Pero después de enseñarle un par de trucos, ¡jamás volvió a perder una pelea!
ev04_0010_0030;¡Impresionante!
ev04_0010_0031;Eso no significa que pudiera derrotar a todos sus adversarios, vaya.
ev04_0010_0032;Nunca se metía en un combate que no pudiera ganar.
ev04_0010_0033;Tiene una especie de sexto sentido para analizar las situaciones peligrosas, como si supiera cuáles son las probabilidades.
ev04_0010_0034;Algo así como cobardía innata.
ev04_0010_0035;¡Eh, oye!
ev04_0010_0036;¿Qué piensas, Lann? ¿Podemos derrotarlos?
ev04_0010_0037;¡Pan comido! Bueno, no toda una hogaza, sino una rebanada, pero podemos hacerlo.
ev04_0010_0038;Como veis, podéis confiar en nosotros. ¿Lo haréis?
ev04_0010_0039;Muy bien.
ev04_0010_0040;Hay que tomar cartas en el asunto o Cornelia caerá en manos de Bahamut.
ev04_0010_0041;Combatamos y confiemos en los custodios de mirages de la profecía...
ev04_0010_0042;(Qué raro... Sé que alguien solía meterse con Lann, pero no recuerdo quién era.)
