ev04_0060_0000;¡¿Eh?!
ev04_0060_0001;¿La princesa? ¡La leche, era verdad!
ev04_0060_0002;Je, je. Hay que reconocer que tiene valor...
ev04_0060_0003;¡Ah!
ev04_0060_0004;¡Majestad, detrás de vos!
ev04_0060_0005;¿Qué?
ev04_0060_0006;¡Cuidado!
ev04_0060_0007;¡Aaah!
ev04_0060_0008;¡Aaarg!
ev04_0060_0009;¿Estáis bien, majestad?
ev04_0060_0010;Sí, te lo agradezco.
ev04_0060_0011;Maldición, ¿cómo podemos bajar hasta allí?
ev04_0060_0012;Hay que llegar hasta el otro lado. Si nos damos prisa...
ev04_0060_0013;No, no tenemos tiempo para eso.
ev04_0060_0014;¡Princesa!
ev04_0060_0015;¡No!
ev04_0060_0016;Princesa Sara, ¿estáis bien?
ev04_0060_0017;¡Qué pasada de ataque!
ev04_0060_0018;No... sé qué ha sucedido.
ev04_0060_0019;Yo sí. Contempla esa luz.
ev04_0060_0020;Capitán, a partir de ahora se te conocerá como el Guerrero de la Luz.
ev04_0060_0021;¿Yo? ¿De veras?
ev04_0060_0022;Así es. Las leyendas de Cornelia hablan de otros guerreros como tú:
ev04_0060_0023;héroes anónimos en cuyos corazones reside un gran poder, Guerreros de la Luz.
ev04_0060_0024;Eras un iluminado y, como tal, albergabas el potencial de convertirte en un protector de este reino.
ev04_0060_0025;¿Iluminado? ¿Protector?
ev04_0060_0026;Los protectores despiertan en momentos cruciales de la historia y su poder milagroso renace en su interior.
ev04_0060_0027;Aquellos en quienes reside ese poder se llaman <QUOT>iluminados<QUOT>.
ev04_0060_0028;Los Guerreros de la Luz tan solo afloran en las leyendas de Cornelia,
ev04_0060_0029;aunque se supone que los iluminados se pueden encontrar en todo Grymoire.
ev04_0060_0030;Increíble. Entonces, ¿soy uno de ellos?
ev04_0060_0031;No cabe la menor duda.
ev04_0060_0032;Creo que la luz que emiten Lann y Reynn ha sido el desencadenante. Es como si hubiera estado durmiendo hasta ahora y por fin hubiera despertado.
ev04_0060_0033;¿Tenéis entonces ese poder? ¿La habilidad de convertir a los iluminados en protectores?
ev04_0060_0034;Mmm...
ev04_0060_0035;Ojalá lo supiéramos. Como os dije, apenas recordamos quiénes somos.
ev04_0060_0036;Esperad...
ev04_0060_0000a;3221225472
ev04_0060_0000b;3221225472
