ev05_0010_0000;Capítulo V
ev05_0010_0000_1;3221225472
ev05_0010_0000_2;La protectora que salvó Grymoire
ev05_0010_0001;Parece que el campamento de Bahamut va a convertirse en un refugio de duendes.
ev05_0010_0002;Ahora que hemos derrotado a su jefe, al menos dejarán en paz a Cornelia durante una temporada.
ev05_0010_0003;Cuando un custodio pierde el control de sus mirages, pasan a ser de nuevo salvajes y libres.
ev05_0010_0004;Al final se termina acostumbrando uno a los mirages salvajes que campan por el mundo.
ev05_0010_0005;Para eso está el Guerrero de la Luz.
ev05_0010_0006;Cierto.
ev05_0010_0007;Aun así, no podemos descartar la posibilidad de un nuevo ataque del ejército de Bahamut.
ev05_0010_0008;Necesitamos aliarnos con otro reino para ofrecernos ayuda mutuamente y acudir al rescate del otro en caso de necesidad.
ev05_0010_0009;En los últimos tiempos, de hecho, existen rumores sobre una gran organización con ese fin: oponerse a la Federación.
ev05_0010_0010;Quizá sea hora de ponerse en contacto con ellos. Se hacen llamar la <QUOT>Liga de los S<QUOT>.
ev05_0010_0011;¿La Liga de los S? ¿Y cómo podemos encontrarlos?
ev05_0010_0012;Juraría haber oído decir a uno de los mercaderes que el barón de Saronia, la nación al norte, ha hablado con ellos.
ev05_0010_0013;Saronia, ¡cómo no! Ellos también se han negado a entrar en la Federación.
ev05_0010_0014;Así es. Majestad, permitidme que viaje hasta allí y recabe información sobre la Liga de los S.
ev05_0010_0015;¿Por tu cuenta? Para llegar a Saronia has de cruzar lugares peligrosos a rebosar de mirages. No puedo dejar que...
ev05_0010_0016;3221225472
ev05_0010_0017;¿Qué tal si vamos nosotros?
ev05_0010_0018;Eso. El Guerrero de la Luz y su guardia han de permanecer aquí para mantener a raya a los duendes.
ev05_0010_0019;Así es. El protector de las leyendas de Cornelia debería permanecer aquí.
ev05_0010_0020;Nosotros estamos mejor preparados. Tenemos que reunir muchos mirages, así que no nos vendrá mal.
ev05_0010_0021;Nos da igual, de verdad.
ev05_0010_0022;Os agradezco mucho vuestro ofrecimiento. ¿Estáis seguros?
ev05_0010_0023;¡Por supuesto! Sois vos quien nos hace un favor al darnos una nueva pista que seguir.
ev05_0010_0024;No nos importa ayudar.
ev05_0010_0025;Gracias. Os estamos agradecidos.
ev05_0010_0026;Tomad esta carta. Todos los emisarios de Cornelia portan una como representantes del reino. Os será de gran ayuda.
ev05_0010_0027;Gracias.
ev05_0010_0028;Bueno, no nos quedemos de brazos cruzados. ¡Hastalué, princesa!
