ev05_0050_0000;¡Qué preciosidad!
ev05_0050_0001;(Anda, me suena de algo, pero ahora mismo no caigo. ¿Dónde he visto yo eso antes?)
ev05_0050_0002;¿Kolosos acompañados por un mirage? Es obvio que no sois de Grymoire.
ev05_0050_0003;Vaya, olvidé esconderme.
ev05_0050_0004;Y nosotros olvidamos convertirnos en pezquecos.
ev05_0050_0005;¿Quién eres? ¿Y ese bastón?...
ev05_0050_0006;Me llamo Yuna.
ev05_0050_0007;¿Sois heraldos? ¿Os han enviado también a vosotros para sembrar el caos? Ya habéis hecho sufrir demasiado a este mundo.
ev05_0050_0008;¡Kieee!
ev05_0050_0009;¡Desapareced de Grymoire! ¡No os pertenece!
ev05_0050_0000a;3221225472
ev05_0050_0000b;3221225472
