ev06_0040_0000_0;Anda, ¿eso da calor?
ev06_0040_0000_1;Ah, qué calentito está.
ev06_0040_0000;Perdone, ¿cuánto cuesta esto?
ev06_0040_0001;¿Eh? Esperad, ¿tenéis pensado cruzar el Valle Témpano?
ev06_0040_0002;Es que... tenemos que llegar hasta Saronia.
ev06_0040_0003;No, será mejor que lo olvidéis.
ev06_0040_0004;Cruzar el valle durante esta época del año ya es una tarea ardua de por sí.
ev06_0040_0005;Pero, encima, no hace mucho que habitan en él mirages violentos que atacan sin ton ni son a cualquiera.
ev06_0040_0006;Da igual que seáis kolosos o pezquecos, os harán pedazos.
ev06_0040_0007;¿En serio? Podemos encargarnos de esos mirages. Tan solo dinos dónde están.
ev06_0040_0008;¿Eh?
ev06_0040_0009;Somos custodios de mirages.
ev06_0040_0010;De hecho, estamos viajando para cazar todos los que podamos.
ev06_0040_0011;¿A que sí?
ev06_0040_0012;¡Por supuestito!
ev06_0040_0013;¡Hala! Por aquí han pasado clientes de lo más diverso, pero jamás había tenido el placer de conocer a custodios de mirages.
ev06_0040_0014;Eh... Perdonad.
ev06_0040_0015;¿Eh?
ev06_0040_0016;Siento interrumpiros. Me llamo Refia.
ev06_0040_0017;Por culpa de los mirages del Precipicio Témpano me he quedado aquí atascada.
ev06_0040_0018;¡Refia!
ev06_0040_0019;¿Estás segura?
ev06_0040_0020;Sí, lo tengo decidido.
ev06_0040_0021;Mmm...
ev06_0040_0022;No hace falta que me mires así. No te voy a detener.
ev06_0040_0023;Por cierto, custodios de mirages...
ev06_0040_0024;¿Eh?
ev06_0040_0025;¿Sí?
ev06_0040_0026;Vais de camino a Saronia, ¿cierto?
ev06_0040_0027;Así es.
ev06_0040_0028;De hecho, vamos en calidad de representantes del reino de Cornelia,
ev06_0040_0029;y no podemos permanecer mucho tiempo aquí.
ev06_0040_0030;Vaya, vaya... ¿Acaso soy la única con un poco de sentido común?
ev06_0040_0031;Bueno, como queráis. Pero al menos llevad con vosotros este calientamanos mágico.
ev06_0040_0032;A cambio, os voy a pedir que dejéis que Refia os acompañe.
ev06_0040_0033;Conoce algunos hechizos de magia blanca, así que os será muy útil.
ev06_0040_0034;Sherlotta...
ev06_0040_0035;Se puede apuntar, claro.
ev06_0040_0036;Lo mismo digo. Seguro que es una gran compañera de aventuras si puede usar magia blanca.
ev06_0040_0037;Gracias. Todos salimos ganando.
ev06_0040_0038;¡Perfecto! Descansad antes de salir de viaje.
ev06_0040_0039;3221225472
