ev07_0010_0000;Capítulo VII
ev07_0010_0000_1;3221225472
ev07_0010_0000_2;El verdadero barón de Saronia
ev07_0010_0001;Bienvenidos a Saronia.
ev07_0010_0002;Gracias por haberme acompañado. Me voy a ver a mi tío. ¡Hasta luego!
ev07_0010_0003;¿Eh?
ev07_0010_0004;¿Qué ocurre?
ev07_0010_0005;Acabo de darme cuentita. Parece que el pueblo entero es un dominio.
ev07_0010_0006;¿Eh? Entonces eso significa que... ¿hay un mirage muy poderoso aquí en Saronia?
ev07_0010_0007;Muy cerquita. Estad muy atentos.
ev07_0010_0008;Eh, ¿qué te pasa? Estás muy callado.
ev07_0010_0009;¡Me congelo! ¡Pensaba que haría más calor en el pueblo, pero m-m-m-me equivoqué!
ev07_0010_0010;¡Mmmrriaaauu!
ev07_0010_0011;¡Ah! ¡¿Qué he pisado?!
ev07_0010_0012;¡Ah! Lo siento.
ev07_0010_0013;Ji, ji. Qué rarito eres. ¿Le pides disculpas a un gato?
ev07_0010_0014;¡Tenías que haber visto cómo me miraba! Me dio mucho yuyu...
