ev07_0030_0000;¡Vamos, largo de aquí!
ev07_0030_0001;¡¿No has oído lo que he dicho?!
ev07_0030_0002;Esa es... ¿Refia?
ev07_0030_0003;¡Ah! ¡Estáis aquí!
ev07_0030_0004;¿Qué pasa aquí? ¿Algún problema?
ev07_0030_0005;Ya les he dicho que el barón es mi tío. ¡¿Es que ahora no voy a poder ni hablar con mi propia familia?!
ev07_0030_0006;¡Me trae al fresco quién seas! ¡No vas a verlo y punto!
ev07_0030_0007;¿De qué va?
ev07_0030_0008;Disculpe, caballero, pero la princesa Sara de Cornelia nos ha pedido que nos reunamos con el barón.
ev07_0030_0009;Vedlo vosotros mismos. Es el emblema real de Cornelia.
ev07_0030_0010;¿Ah, sí?
ev07_0030_0011;No me esperaba una actitud así de nuestros vecinos.
ev07_0030_0012;¡Eso! ¡Bien dicho, Reynn!
ev07_0030_0013;¿Cornelia nos envía a emisarios kolosos ahora?
ev07_0030_0013_1;Traen un no sé qué real de Cornelia.
ev07_0030_0013_2;¿Qué? ¿Estás seguro?
ev07_0030_0013_3;Ni idea. ¿Quieres arriesgarte a no dejarlos pasar?
ev07_0030_0014;Esperad aquí. Voy a consultarlo con su baroneza.
ev07_0030_0015;El barón dice que os recibirá.
ev07_0030_0016;Vamos, Refia.
ev07_0030_0017;¿Sí?
ev07_0030_0018;¡No, la chica se queda!
ev07_0030_0019;Refia forma parte de nuestro grupo.
ev07_0030_0020;¡Es verdad! Solo que llegó antes que nosotros.
ev07_0030_0021;¡Qué...!
ev07_0030_0022;Vamos allá.
ev07_0030_0023;Gracias, chicos. Me habéis vuelto a sacar de un apuro.
ev07_0030_0024;De nada.
ev07_0030_0025;Bueno, no les hemos mentido. Nos dirigíamos al mismo lugar.
ev07_0030_0026;Debéis de ser los dos emisarios kolosos que ha enviado Cornelia.
ev07_0030_0027;Eh... Sí. Hemos venido a...
ev07_0030_0028;He oído que la Federación ha decidido invadirlos directamente.
ev07_0030_0029;¿Y habéis venido a pedir ayuda? ¿Quiere eso decir que la invasión ha sido un fracaso?...
ev07_0030_0030;Es cierto que han lanzado una ofensiva contra Cornelia, pero...
ev07_0030_0031;¿Quién eres?
ev07_0030_0032;¿Mmm? Vaya, Refia, ¿eres tú?
ev07_0030_0033;¡¿Quién eres?!
ev07_0030_0034;¡Querida, por favor! Soy yo, tu tío...
ev07_0030_0035;¡No! ¡Tú no eres mi tío Takka!
ev07_0030_0036;Esto... ¿Qué?
ev07_0030_0037;¡Ja, ja, ja! Veo que estaba en lo cierto, pues has descubierto mi engaño. No cabe duda... ¡Eres una iluminada!
ev07_0030_0038;Sí, esa fue la razón por la que me aseguré de que te fueras de aquí y nunca regresaras.
ev07_0030_0039;¿Dónde está mi tío Takka?
ev07_0030_0040;Lo tienes delante de ti. No te equivoques, chiquilla. Este es tu tío.
ev07_0030_0041;3221225472
ev07_0030_0042;¿Pero qué...?
ev07_0030_0043;Qué curioso. Esto debe de ser obra del destino.
ev07_0030_0044;Tengo ante mí a los kolosos de la colina y ¡han venido con una iluminada!
ev07_0030_0045;Y no una iluminada cualquiera... ¡Una con la misma sangre que corre por estas venas!
ev07_0030_0046;¡Ja, ja, ja! No cabe duda, es el destino lo que os ha traído hasta aquí. ¡Estaré a la altura de la situación!
ev07_0030_0047;¡Está claro! ¡Él es quien ha creado el dominio que rodea el pueblo!
