ev08_0040_0000;Nos habéis vencido, kupó...
ev08_0040_0001;¡Me dais vergüenza, grumetes!
ev08_0040_0002;¡Capitana Faris, kupó!
ev08_0040_0003;¡Es enorme!
ev08_0040_0004;¡Ha creado un dominio!
ev08_0040_0005;¡Ese mirage debe de ser poderosísimo!
ev08_0040_0006;Muchas gracias por mantener a mi tripulación en forma.
ev08_0040_0007;¡Ah, de nada! Pero pensaba que les habíamos dado una paliza.
ev08_0040_0008;¡En realidad se refería a eso, bobo!
ev08_0040_0009;¡Ja! ¿Qué sois? ¿Humoristas?
ev08_0040_0010;No os servirá de mucho. Si tenéis agallas como para robar a unos piratas, ateneos a las consecuencias.
ev08_0040_0011;¡Preparaos, niñatos!
ev08_0040_0012;¿Hay niñatos por aquí?
ev08_0040_0013;Espera, ¿cómo que <QUOT>niñatos<QUOT> en plural?
