ev09_0030_0000;¿Estáis listos?
ev09_0030_0001;Está bien, allá vamos.
ev09_0030_0002;Buen viaje, muchachos.
ev09_0030_0003;¡Gracias! Ah, por cierto...
ev09_0030_0004;Qué descortés soy. ¡Perdona que intentáramos robarte!
ev09_0030_0005;De veras que no queríamos causarte molestia alguna.
ev09_0030_0006;Quizá podáis resarciros...
ev09_0030_0007;Si sobrevivís. ¡Adiós!
ev09_0030_0008;¡¿Eh?!
ev09_0030_0009;Vamos, por aquí.
ev09_0030_0009_1;Oye, ¿adónde va ese camino?
ev09_0030_0009_2;Lleva al pueblo. ¿Acaso no vinisteis por ahí?
ev09_0030_0009_3;El otro camino está plagado de mirages. A nadie se le ocurriría venir por ahí.
ev09_0030_0009_4;¡Qué fuerte! Ojalá lo hubiésemos sabido al venir.
ev09_0030_0009_5;Debí habérmelo imaginado. Ya me parecía que había algo raro...
ev09_0030_0009_6;¡Al menos hemos dado con buenos mirages! Menos da una piedrecita, ¿no?
ev09_0030_0009_7;¡Claro! ¡Nada de lo que arrepentirse!
ev09_0030_0010;Aquí está.
ev09_0030_0011;Un momento.
ev09_0030_0012;He puesto el piloto automático, así que os llevará directamente al Inframar.
ev09_0030_0013;Vamos, antes de que el barón o el resto de la Federación os alcance.
ev09_0030_0014;Eres más maja que todo.
ev09_0030_0015;¡Gracias por todo!
ev09_0030_0016;Adiós, y no me lo echéis en cara.
ev09_0030_0017;¿Eh?
ev09_0030_0018;¡¿Qué?!
ev09_0030_0041;Oooh...
ev09_0030_0042;Nota mental: el Inframar no está al sur...
ev09_0030_0043;Pero ¡¿quéee?!
ev09_0030_0044;¡Está hacia abajo!
ev09_0030_0045;¡Aaah! ¡Maldita gravedad! ¡Nooo!
ev09_0030_0046;¡Aaah!
ev09_0030_0047;¡Ja, ja, ja!
ev09_0030_0048;¡Aaah!
ev09_0030_0049;¡Uah!
ev09_0030_0050;¡Leñes!
ev09_0030_0051;¿Cómo podemos seguir vivos?...
ev09_0030_0052;Tama, ¿estás bien?
ev09_0030_0053;Nunca he estado mejorcito...
ev09_0030_0054;¡Eh! Ve a sacudirte a otro sitio.
ev09_0030_0000_1;¿Montar a bordo?
ev09_0030_0000_2;Sí
ev09_0030_0000_3;No
