ev09_0080_0000;¿Eeh?
ev09_0080_0001;¡Uaaah!
ev09_0080_0002;Hala, ¿qué ha sido eso?
ev09_0080_0003;¡Anda, sois gente de verdad! ¡Pensé que estaba alucinando!
ev09_0080_0004;¿Quién eres?
ev09_0080_0005;¡Ah, perdón! Me llamo Rikku.
ev09_0080_0006;Me lo estaba pasando pipa buscando tesoros hasta que un mirage destrozó mi barco.
ev09_0080_0007;Como sé nadar bien, no me pasó nada, pero ya necesitaba descansar.
ev09_0080_0008;Y entonces os vi a lomos del adamantaimai este.
ev09_0080_0009;¿Qué estáis haciendo por aquí?
ev09_0080_0010;Cuantos más seamos, mejor. Siéntate y disfruta del viaje.
ev09_0080_0011;¡Gracias!
ev09_0080_0012;¡Qué guay! ¡Sois custodios de mirages! Seguro que no es fácil hacerse amigo de un adamantaimai.
ev09_0080_0013;Sinceramente, creo que tuvimos la suerte de cruzarnos con uno simpático.
ev09_0080_0014;Entonces queréis ir a la región de Babil, ¿no? ¡Tenéis que ir hacia allí!
