ev10_0010_0000;Capítulo X
ev10_0010_0000_1;3221225472
ev10_0010_0000_2;Un recibimiento demasiado amistoso
ev10_0010_0001;¡Ah!...
ev10_0010_0002;¡Ea!
ev10_0010_0003;¡Gracias por tu ayuda!
ev10_0010_0004;De nada, ha sido un placer.
ev10_0010_0005;Y gracias por habernos guiado, Rikku.
ev10_0010_0006;¡De nada! Así he podido descansar un poco.
ev10_0010_0007;¿Adónde vas a ir ahora?
ev10_0010_0008;Mmm...
ev10_0010_0009;Hay un lugar al que me gustaría ir. ¿Te molestaría que me quedase sobre tu caparazón para otro viaje?
ev10_0010_0010;En absoluto. De todas formas yo ya me iba.
ev10_0010_0011;¡Muchas gracias!
ev10_0010_0012;¡Vale, ahora podré volver a mi divertidísima búsqueda de tesoros!
ev10_0010_0013;¡Buena suerte! Y ten cuidado.
ev10_0010_0014;¡Hasta luego!
ev10_0010_0015;Adiós, adamantaimai. ¡Algún día de estos te meteré en un prisma, no te preocupes!
