ev10_0040_0000;Ah...
ev10_0040_0001;Por los pelos...
ev10_0040_0002;¡Aprovechemos para escapar ahora!
ev10_0040_0003;Sí, buena...
ev10_0040_0004;¡Iiih!
ev10_0040_0005;Está... detrás de mí, ¿verdad?
ev10_0040_0006;Cielo...
ev10_0040_0007;... ¡final!
ev10_0040_0008;¡Uah! ¡Me ha salido!
ev10_0040_0009;Lo celebraré más tarde. ¡Vamos! ¡Por aquí!
ev10_0040_0010;La presencia de estos dos ha provocado una reacción en cadena. No paran de despertar protectores...
ev10_0040_0011;Entonces la profecía celeste... se está cumpliendo.
ev10_0040_0012;¿Y qué? No importa cuántos protectores despierten, nunca podrán cambiar las leyes de este mundo.
ev10_0040_0013;El único poder capaz de cambiar esas leyes es el de un verdadero rey.
ev10_0040_0014;Debemos hacer que se cumpla la profecía carmesí lo antes posible. ¿Entendido?
ev10_0040_0015;Sí.
ev10_0040_0016;¡Gracias, de verdad! ¡Nos salvaste de una buena!
ev10_0040_0017;No sabía que venían de dos en dos.
ev10_0040_0018;Me alegro de que estéis bien.
ev10_0040_0019;En el cañón hay dragones enormes. Tenéis suerte de haberos topado solo con dos.
ev10_0040_0020;Normalmente nadie se atreve a pasar por aquí, pero oí mucho ruido y sabía que sucedía algo.
ev10_0040_0021;Pues menos mal. Por cierto, vaya leche le has dado.
ev10_0040_0022;No, bueno... He tenido suerte.
ev10_0040_0023;¿Eh?
ev10_0040_0024;En realidad es una técnica de mi maestro. Es la primera vez que me sale bien.
ev10_0040_0025;¡Ah!
ev10_0040_0026;Vivo al norte de aquí en una ciudad llamada Nibelheim.
ev10_0040_0027;¡Deberíais venir de visita algún día!
