ev10_add_04_0000;Qué fuerte, tiene sentido.
ev10_add_04_0001;¿Qué? ¿Lo de la resistencia a elementos? ¿Te has enterado de algo?
ev10_add_04_0002;¡Claro! A ver, hay que capturar todos los mirages de esta zona que podamos.
ev10_add_04_0003;¡Uah!
ev10_add_04_0004;¡Hala!
ev10_add_04_0005;¿Qué...?
ev10_add_04_0006;¡Tienes razón!
ev10_add_04_0007;Has entendido algo, pero todavía no comprendes el porqué.
ev10_add_04_0008;¡Ja, ja! ¡Soy un hombre de acción! ¡No creo en los <QUOT>porqués<QUOT>!
ev10_add_04_0009;Eso salta a la vistita.
ev10_add_04_0010;A mí lo que me sorprende es que entiendas algo.
