ev11_0010_0000;Capítulo XI
ev11_0010_0000_1;3221225472
ev11_0010_0000_2;Celeste y carmesí
ev11_0010_0001;Un momento...
ev11_0010_0002;Mmm... Por aquí no veo ninguna cadena.
ev11_0010_0003;Vale, entonces eso significa que son como Cornelia y que no se han unido a la Federación.
ev11_0010_0004;¿Eh? No puede ser...
ev11_0010_0005;¡Eh, hola, muchachos! Sois vosotros, ¿verdad?
ev11_0010_0006;¿Qué pasa, boxeadora?
ev11_0010_0007;¡Hola! ¿Qué tal, Tifa?
ev11_0010_0008;¡Nos alegramos muchito de verte!
ev11_0010_0009;Lo mismo digo.
ev11_0010_0010;¿Os puedo preguntar algo?
ev11_0010_0011;¿Qué pintan aquí en Babil dos custodios y un mirage?
ev11_0010_0012;Ah, cierto, no te lo habíamos comentado.
ev11_0010_0013;Menos mal. Ya empezaba a preocuparme.
ev11_0010_0014;Imaginaos que hubiera salvado la vida a dos malnacidos del ejército de Bahamut.
ev11_0010_0015;Por cierto, ¿por qué todo el mundo nos toma por soldados de Bahamut?
ev11_0010_0016;No sé. Supongo que no ven a muchos custodios de mirages que no estén del lado de la Federación.
ev11_0010_0018;Sí. Y no solo custodios, sino kolosos también.
ev11_0010_0019;Últimamente parece que todo el mundo apoya al ejército de Bahamut.
ev11_0010_0020;Bueno, es cierto que la Federación conquistó sus tierras hace mucho tiempo.
ev11_0010_0021;Qué fuerte...
ev11_0010_0022;La profecía se ha vuelto muy popular últimamente en Nibelheim. Todos han oído hablar de los kolosos de la colina.
ev11_0010_0023;Eh... No sé si me gusta mucho que me reconozcan por la calle.
ev11_0010_0024;¡Je, je! ¿Así que buscáis el valle de fuego?
ev11_0010_0025;Por desgracia, es la única pista que tenemos.
ev11_0010_0026;El valle de fuego... Todo el mundo ha oído hablar de él, pero nadie sabe cuál de ellos es.
ev11_0010_0027;¿Qué quieres decir?
ev11_0010_0028;Si lo que buscáis son valles de fuego, por aquí vais a encontrar muchos.
ev11_0010_0029;Aunque el problema es que cualquiera de esos valles podría ser el de la profecía.
ev11_0010_0030;¡Ah, se me olvidaba! En el pueblo hay una invocadora que se dedica a investigar el valle. ¡Quizá sepa algo!
