ev11_0080_0000;¡No! ¡Aléjate de mí!
ev11_0080_0001;¡Hala!
ev11_0080_0002;¿Estás bien, Rydia?
ev11_0080_0003;Ay...
ev11_0080_0004;No soporto el fuego... Me da pánico.
ev11_0080_0005;Hace mucho tiempo, la Federación invadió mi pueblo.
ev11_0080_0006;Un incendio arrasó mi casa... Estaba sola y...
ev11_0080_0007;Entonces, ¿por qué has venido a un lugar como este?
ev11_0080_0008;Necesitabais ayuda, ¿verdad? ¡Y yo necesitaba superar mis miedos!
ev11_0080_0009;Pero... no he sido capaz. Tan solo con ver el fuego... Era...
ev11_0080_0010;¡Yo creo que lo has hecho muy bien!
ev11_0080_0011;Es verdad. ¡Apagaste ese mirage de fuego a la primera!
ev11_0080_0012;¡Cierto! Nosotros no hicimos ni la mitad de eso.
ev11_0080_0013;Si ese fuego arde con intensidad, ¡sopla y sopla hasta apagarlo, nena!
ev11_0080_0014;¿<QUOT>Sopla y sopla hasta apagarlo<QUOT>? ¿No se te ocurre nada mejor? No tiene pánico a las velas de un pastel precisamente.
ev11_0080_0015;¿Ah, no?
ev11_0080_0016;Pues no.
ev11_0080_0017;Entonces... ¿Qué tal esto? Alegra esa cara, ¡imagina que es tu cumple!
ev11_0080_0019;¿Acaso crees que con esas bobadas le vas a dar ánimos?
ev11_0080_0020;¿Quieres que nos tiremos al río de lava?
ev11_0080_0021;Sería una salvacioncita hacer eso.
ev11_0080_0022;Ji, ji, ji.
ev11_0080_0023;Eres muy raro. Je, je.
ev11_0080_0024;¿Yo? ¡¿Qué dices?!
ev11_0080_0025;Sí, es bastante rarito.
ev11_0080_0026;¡Está como una cabra!
ev11_0080_0027;¡Oyeee!
ev11_0080_0028;Ji, ji, ji... ¿Vamos?
ev11_0080_0029;¿Qué? Pero ¡Rydia!
ev11_0080_0030;Vete, no tienes nada que demostrar. Ya te contaremos lo que encontramos.
ev11_0080_0031;¿De veras? Y ¿cómo pensáis atravesar ese muro de fuego?
ev11_0080_0032;Ah, pues...
ev11_0080_0033;Volveré a Nibelheim una vez que haya apagado el fuego.
ev11_0080_0034;¿Os parece bien?
ev11_0080_0035;¡Totalmente afirmativo!
ev11_0080_0036;¿Estás segura?
ev11_0080_0037;Sí. Vamos.
