ev12_0030_0000;¡Croac! ¡Croac, croac, croac!
ev12_0030_0000_1;¿Eh?
ev12_0030_0001;¿Qué le pasa a esa rana?
ev12_0030_0002;¿Es un mirage? Se comporta de una forma rara.
ev12_0030_0003;¡Croooac! ¡Croac, croac!
ev12_0030_0004;¿Croac, croac?
ev12_0030_0005;¿Croac? ¡Croaaac!
ev12_0030_0006;¡Croac, clarito que sí!
ev12_0030_0007;¿Puedes croar también?
ev12_0030_0008;¡Por supuesto! Por su acentito, sé que ha sido víctima de una maldición.
ev12_0030_0009;¡¿Entonces es humano?!
ev12_0030_0010;¿Las ranas tienen acentos?
ev12_0030_0011;¡Claro que sí!
ev12_0030_0012;¿Croac, croac, croaaac?
ev12_0030_0013;¡Croac! ¡Croooac, croac!
ev12_0030_0014;¿Qué ha dicho?
ev12_0030_0015;Por lo visto, esa rana dorada de ahí es la que le ha lanzado la maldición.
ev12_0030_0016;Ah. Entonces tenemos que derrotarla, ¿no?
ev12_0030_0017;Afirmativito. Primero hay que capturarla, como siempre.
ev12_0030_0018;Vale. Allá vamos.
ev12_0030_0019;Ten cuidado, ¡que no te convierta en una rana!
ev12_0030_0020;¿Qué? ¿No vienes conmigo?
ev12_0030_0021;Si acabamos los dos transformados en rana, se acabó, ¿no?
ev12_0030_0022;Ah... Vale.
ev12_0030_0023;No bajes la guardia aunque seamos más fuertes.
ev12_0030_0024;¿Quizá sea un mirage raro¿
ev12_0030_0025;Hale, todo para ti.
