ev14_0040_0000;Grrr... ¡Ah!
ev14_0040_0001;¿Qué demonios nos ocurre?
ev14_0040_0002;Tama, ¿puedes echarnos una mano?
ev14_0040_0003;¿Eh?
ev14_0040_0004;¡Oye, Tama!
ev14_0040_0005;¿Eh? ¿No nos responde?
ev14_0040_0006;¡Tama! ¿Tama? ¿Dónde estás?
ev14_0040_0007;Qué fuerte. ¿Acaso...?
ev14_0040_0008;¿Hemos perdido nuestros poderes de custodios?
ev14_0040_0009;Qué va... No puede ser.
ev14_0040_0010;¿Qué hacemos ahora?
ev14_0040_0011;No lo sé, la verdad. No veo ningún portal.
ev14_0040_0012;Pero tenemos que salir de aquí.
ev14_0040_0013;Por supuesto.
ev14_0040_0014;Pero...
ev14_0040_0015;Sin Tama, a lo mejor morimos aquí.
ev14_0040_0016;No digas esas...
