ev14_0050_0000;No... No voy a...
ev14_0050_0001;¿De veras... es nuestro fin?
ev14_0050_0002;¡Electro!
ev14_0050_0003;¿Sois los kolosos de la colina?
ev14_0050_0004;¿Estáis bien?
ev14_0050_0005;Sí, estoy bien. Gracias.
ev14_0050_0006;Sí, yo también. Qué poco ha faltado...
ev14_0050_0007;Demasiado poco. Me llamo Squall.
ev14_0050_0008;Antes de nada...
ev14_0050_0009;¿Qué es esto?
ev14_0050_0010;¿Un cubo?
ev14_0050_0011;Algo así. Es un holocubo, una especie de artefacto con algunas mejoras.
ev14_0050_0012;Se parecen bastante a lo que usáis los custodios para atrapar los mirages.
ev14_0050_0013;¿Eh? ¿Te refieres a los prismas?
ev14_0050_0014;Ah, ¿los llamáis así?
ev14_0050_0015;Imaginad entonces que este holocubo es un prisma.
ev14_0050_0016;Pero, en vez de funcionar con mirages, sirve para atrapar máquinas.
ev14_0050_0017;¿Atrapar máquinas?
ev14_0050_0018;Venga, probadlo.
ev14_0050_0019;¡Qué pasada!
ev14_0050_0020;Squall, ¿a qué bando perteneces? No sé por qué nos ayudas.
ev14_0050_0030;Os lo explicaré de camino, pero hemos de irnos.
