ev14_0080_0000;¿Eh?
ev14_0080_0001;¿Por qué hay tantos?
ev14_0080_0002;¿He extraído suficientes Electro? Sí, creo que sí.
ev14_0080_0003;Encontraréis a la agente más adelante.
ev14_0080_0004;Yo me ocuparé de estas chatarras. ¡Seguid sin mí!
ev14_0080_0005;¡No puedes enfrentarte tú solo a todas!
ev14_0080_0006;¡Te ayudaremos!
ev14_0080_0007;No, esta es mi misión.
ev14_0080_0008;¡Corred!
ev14_0080_0009;Pe-pero...
ev14_0080_0010;¡Vamos!
ev14_0080_0011;¿En serio?
ev14_0080_0012;No podemos hacer nada más. Se las apañará mejor sin nosotros. Hagámosle caso.
ev14_0080_0013;Vale...
