ev15_0020_0000;¿Ya he ganado entonces?
ev15_0020_0001;Si no contraatacáis, no tardaréis en morir.
ev15_0020_0002;¿Acaso crees que has acabado conmigo?
ev15_0020_0003;¡Arg!
ev15_0020_0004;¡Lann!
ev15_0020_0005;¡Aaah!
ev15_0020_0006;¡Arg!
ev15_0020_0007;Muy bien, así me gusta.
ev15_0020_0008;Antitécnica empleada. No existe técnica alguna que no pueda disipar.
ev15_0020_0009;¡Holi, holiii!
ev15_0020_0010;¿Eres...?
ev15_0020_0011;¿Eh, Tama?
ev15_0020_0012;¡Así es! ¡Me alegro muchito de veros de nuevo!
ev15_0020_0013;Toma, ¡por fin!
ev15_0020_0014;Menos mal, hemos vuelto a la normalidad.
ev15_0020_0015;¡Vaya sustito me llevé cuando no podía hablar con vosotros!
ev15_0020_0016;Si habéis recuperado vuestros poderes, continuemos.
ev15_0020_0017;¿A que Shelke es genial? Y pertenece a... ¡Ah, sí, a la Liguita de los S!
ev15_0020_0018;¡Lo sabía! Supuse que era la otra agente.
ev15_0020_0019;Bueno, ¿habéis terminado? Tenemos que...
ev15_0020_0020;Esa habilidad que mostró antes, creo que se llama Antitécnica.
ev15_0020_0021;¡Y puede absorber lo que sea! Técnicas, hechizos, movimientitos... ¡y los anula!
ev15_0020_0022;Esto... Sí, así es.
ev15_0020_0023;Hala, ¡qué flipada!
ev15_0020_0024;Y de esa forma ha conseguido romper vuestros supresores.
ev15_0020_0025;Pero tampoco estaba segura de si había funcionado, ¡y se puso nerviosita!
ev15_0020_0026;¿Qué? E-eso no es verdad. Lo tenía todo bien controlado.
ev15_0020_0027;Apostaría lo que fuera a que es una protectora. Es encantadora, ¿a que sí?
ev15_0020_0028;Tienes razón. Muchas gracias por ayudarnos.
ev15_0020_0029;¡Eres la más mejor!
ev15_0020_0030;No tenemos tiempo para charlar.
ev15_0020_0031;Estamos en plena misión, ¡continuemos!
