ev15_0070_0000;¿Qué ha...?
ev15_0070_0001;Cof, cof. Oye, ¿de dónde ha salido este humo?
ev15_0070_0002;¿Eh? Así que puede hablar...
ev15_0070_0003;¡Ha dicho algo! Lo he oído.
ev15_0070_0004;¡Aaah! ¡¿Un mirage que puede hablar?!
ev15_0070_0005;Ahora que caigo, tiene razón...
ev15_0070_0006;Je, je. ¿Te acabas de dar cuenta?
ev15_0070_0007;¿Entonces te llamas Vivi?
ev15_0070_0008;Sí.
ev15_0070_0009;¿Y estos amigos tuyos también pueden hablar al igual que tú?
ev15_0070_0010;¿Mis amigos? ¿Quiénes?
ev15_0070_0011;¡Hala! ¡Se parecen a mí!
ev15_0070_0012;¡Eh, eh!
ev15_0070_0013;Ten cuidadito con ellos, que son peligrosos.
ev15_0070_0014;¿En serio?
ev15_0070_0015;¡Oye! Portaos bien, no seáis malos.
ev15_0070_0016;¿?
ev15_0070_0017;¿Habéis visto? Sabía que eran buenos. ¡Dicen que nos van a ayudar!
ev15_0070_0018;¡Hala!
ev15_0070_0019;Yo también estoy alucinada.
ev15_0070_0020;Sí, bravo.
ev15_0070_0021;Decidme, ¿para qué nos necesitáis?
ev15_0070_0022;Ah, es verdad...
ev15_0070_0022_1;Anda, algo está reaccionando.
ev15_0070_0022_2;¿Se ha activado el Reactor Mako?
ev15_0070_0022_3;¡El Castillo de Fígaro puede librarse de la cadenita!
ev15_0070_0022_4;¡Es verdad! No me lo quiero perder, ¡vamos!
ev15_0070_0022_5;Cierto, salgamos fuera.
ev15_0070_0023;Ha llegado el momento. ¡A toda velocidad!
ev15_0070_0024;¡Yuju!
ev15_0070_0025;¡Lo hemos conseguido!
ev15_0070_0026;¡Por supuestito!
ev15_0070_0027;Uf, ha sido complicadito, vaya que sí.
ev15_0070_0028;Y que lo digas...
ev15_0070_0029;Por cierto, ¿no será este lugar la cuna de la energía mako donde se encuentra la llave Gea?
ev15_0070_0030;¿Te refieres a esta llave?
ev15_0070_0031;¿Eh?
ev15_0070_0032;¡Hala, la segunda llave! Como por arte de magia.
ev15_0070_0033;Y parece que Vivi la llevaba consigo todo el tiempo.
ev15_0070_0034;¡Qué suertecita!
ev15_0070_0035;(Demasiada suerte, diría yo, pero no viene a cuento darle demasiadas vueltas a ese asunto, supongo.)
ev15_0070_0036;Vivi, ¿tienes pensado qué vas a hacer ahora?
ev15_0070_0037;Pues...
ev15_0070_0038;¿Qué te parece si te quedas en Fígaro?
ev15_0070_0039;¡Eh, tú!
ev15_0070_0040;Vaya, mis kolosos favoritos. Vuestra ayuda ha sido incalcula... ble.
ev15_0070_0041;Grrr...
ev15_0070_0042;Grrr...
ev15_0070_0043;Ah... Eh... ¿Acaso Squall no os ha explicado todo?
ev15_0070_0044;Sí.
ev15_0070_0045;Grrr...
ev15_0070_0046;Bueno... Os pido perdón. La Federación me vigilaba constantemente, así que tuve que...
ev15_0070_0047;¿Y Lightning? ¿Está bien?
ev15_0070_0048;¡Ah, sí! Me aseguré de que escapara.
ev15_0070_0049;Al fin y al cabo, soy yo quien la envié al desierto para que os protegiera.
ev15_0070_0050;¿En serio?
ev15_0070_0051;¿Ella era parte de la misión?
ev15_0070_0052;Es decir, que nos ayudaste antes de meternos en todo este lío.
ev15_0070_0053;Supongo que estamos en paz entonces.
ev15_0070_0054;Sí, eso parece.
ev15_0070_0055;¿Qué ha sido eso?
ev15_0070_0056;¿De dónde ha salido?
ev15_0070_0057;¿Siempre ha vivido bajo el Castillo de Fígaro?
ev15_0070_0058;¡Impresionante! Ese mirage era pero que muy fuertecito.
ev15_0070_0059;Mmm...
ev15_0070_0060;Después de lo que os he hecho pasar quizá no sea mucho, pero tengo algo de información.
ev15_0070_0061;¿El qué?
ev15_0070_0062;Una de las llaves yace en la tierra <QUOT>donde nunca brilla el sol<QUOT>, ¿cierto? Quizá sepa dónde.
ev15_0070_0063;3221225472
ev15_0070_0064;¿En serio?
ev15_0070_0065;¿Dónde?
ev15_0070_0066;Al oeste de aquí encontraréis el gigantesco Gran Puente, que os llevará a otro continente.
ev15_0070_0067;Allí nunca brilla el sol, pues sus cielos están cubiertos por oscuras nubes de forma perenne.
ev15_0070_0068;Algunos la llaman la tierra del sol robado. Normal que en tal caso nunca brille allí el sol.
ev15_0070_0069;3221225472
ev15_0070_0070;3221225472
ev15_0070_0071;3221225472
