ev16_0040_0000;Llegar hasta allí arriba...
ev16_0040_0001;Va a ser muy cansado.
ev16_0040_0002;¡Eso parece!
ev16_0040_0003;Aun así, ¡es impresionante! ¿Quién habrá construido algo así?
ev16_0040_0004;Nadie lo ha construido. Un koloso lo invocó hace ya muchos años.
ev16_0040_0005;Me llamo Eiko, y me encargo de proteger y cuidar el puente.
ev16_0040_0006;Supongo que queréis cruzarlo, ¿no?
ev16_0040_0007;Sí.
ev16_0040_0008;Has dicho que no lo han construido, ¿sino que fue invocado?
ev16_0040_0009;El puente se llama, en realidad, Alejandro.
ev16_0040_0010;¿Eh?
ev16_0040_0011;El poderoso mirage conocido como Alejandro, <QUOT>el Gran Puente<QUOT>.
ev16_0040_0012;¡Es verdad! ¿Cómo no me había dado cuentita? Puedo percibir la presencia del puente.
ev16_0040_0013;¿Qué dices? ¿Que está vivo? ¡Pero si es gigante!
ev16_0040_0014;Por eso soy yo, una invocadora, quien lo vigila.
ev16_0040_0015;Anda, ¿eres una invocadora entonces?
ev16_0040_0016;Sí, pero no fui quien lo invocó.
ev16_0040_0017;Oye, ¿os puedo preguntar algo?
ev16_0040_0018;¿Qué?
ev16_0040_0019;¿Sois vosotros? ¿Los kolosos de la colina?
ev16_0040_0020;¡En carne y hueso!
ev16_0040_0021;Sí, se supone que sí...
ev16_0040_0022;Entonces los rumores son ciertos.
ev16_0040_0023;Y, en tal caso, si la profecía no yerra...
ev16_0040_0024;¡Ni se os ocurra! No intentéis sumir este mundo en el caos.
ev16_0040_0025;¿Qué?
ev16_0040_0026;Hoy en día nadie se acuerda porque solo tienen la profecía carmesí en mente.
ev16_0040_0027;Sin embargo, la profecía celeste deja bien claro que traeréis con vosotros la salvación o la destrucción. Dos futuros diferentes.
ev16_0040_0028;3221225472
ev16_0040_0029;Es verdad. La princesa Sara mencionó esas dos posibilidades.
ev16_0040_0030;¿En serio?
ev16_0040_0031;¿Es que ya se te ha olvidado?
ev16_0040_0032;Me están entrando dudas. Quizá no debería dejaros cruzar el puente.
ev16_0040_0033;No te preocupes. Reynn y yo solo queremos salvar este mundo, de verdad.
ev16_0040_0034;Claro.
ev16_0040_0034_1;¿Eh?
ev16_0040_0034_2;Ay...
ev16_0040_0035;Bueno, no creo que pudiera deteneros. La profecía trata sobre vosotros, ¿no?
ev16_0040_0036;Venga, podéis cruzar. Pero nada de provocar un apocalipsis.
ev16_0040_0037;Por supuesto.
ev16_0040_0038;¿Hay alguna forma especial para poder llegar a lo más altito de Alejandro?
ev16_0040_0039;Subid, que yo me encargaré de despertarlo.
ev16_0040_0040;¿Despertarlo?
ev16_0040_0041;Alejandro es un dormilón, así que mi trabajo consiste en asegurarme de que se mueva si es necesario.
ev16_0040_0042;¡Venga, adelante!
