ev16_0050_0000;¡Agarraos bien fuerte!
ev16_0050_0001;Vale, ya estamos.
ev16_0050_0002;¡Va a ser una experiencia divertidita!
ev16_0050_0003;¡Gracias, Eiko!
ev16_0050_0004;¡Guau!
ev16_0050_0004_1;Eh, Reynn...
ev16_0050_0005;Tengo un mal presentimien... ¡¡Aaah!!
ev16_0050_0006;¡AAAH!
ev16_0050_0007;3221225472
ev16_0050_0008;¡Mmmnnnrrr!
ev16_0050_0009;¡Buen ascenso!
ev16_0050_0010;Eh, no te ocultes, sé que estás ahí. ¿También quieres cruzar el puente?
ev16_0050_0011;No. He venido a por ti, invocadora.
ev16_0050_0011_1;¡Ah!
ev16_0050_0012;Groarrr...
ev16_0050_0013;Un esper, tal y como pensaba. ¡Fíjate bien en mí! ¿Acaso soy tu enemiga?
ev16_0050_0014;Grrr...
ev16_0050_0015;Fenril, ¡eres mi amigo, no lo olvides!
ev16_0050_0016;Como quieras. Espero que opongas más resistencia que la otra chica con la dragona de Mist.
ev16_0050_0017;¿Eh? ¿Otra chica? ¿Rydia?
ev16_0050_0018;¡No! ¿Qué le has hecho?
ev16_0050_0019;Dentro de poco no te importará.
ev16_0050_0019_1;Grrr...
ev16_0050_0020;Auh, auh, auh...
ev16_0050_0021;Ñiii...
ev16_0050_0022;Y yo que pensaba que lo peor que podía ocurrirnos era caer hacia abajo...
ev16_0050_0023;Ay, ¿hemos llegado ya?
ev16_0050_0024;Eh... Creo que no.
ev16_0050_0025;Ñeee, ¡plop!
ev16_0050_0026;¿Por qué nos hemos detenido? ¿Alejandro se ha vuelto a quedar dormidito?
ev16_0050_0027;No me digas que tenemos que subir hasta allí arriba... a pata.
ev16_0050_0028;Parece que no nos queda más remedio.
ev16_0050_0029;¡¿Qué me cuentas?!
