ev16_0080_0000;Gracias por tu ayuda.
ev16_0080_0001;Sí, te debemos una.
ev16_0080_0002;No pasa nada. Me llamo Bartz, y este es mi compañero Boko.
ev16_0080_0003;¡Kué!
ev16_0080_0004;Por cierto...
ev16_0080_0005;Según dicen, hay un tipo raro por aquí que no deja de gritar mi nombre y ataca a la gente sin ton ni son.
ev16_0080_0006;Es-esto... No sois ninguno de vosotros, ¿no?
ev16_0080_0007;¿Qué?
ev16_0080_0008;No sabíamos cómo te llamabas hasta que nos lo has dicho, así que...
ev16_0080_0009;Ah, vale. Voy a seguir buscándolo. No quiero tipos así merodeando por aquí.
ev16_0080_0010;A mí también me preocuparía muchito que un tipo raro usara mi nombre y fuera atacando a la gente sin venir a cuento.
ev16_0080_0011;¿A que sí?
ev16_0080_0012;Tama tamás podría hacer daño a nadie, ¡ja!
ev16_0080_0013;¡Qué chiste tan malito! Te mereces un capón.
ev16_0080_0014;Además del capón, un -1 de nota.
ev16_0080_0015;¿Otra nota negativa?
