ev16_0095_0000;Creo que es la primera vez que conozco a un koloso de verdad.
ev16_0095_0001;Cuando era pequeño se supone que vivían kolosos en algunos pueblos, pero hoy en día, lo más normal es que formen parte del ejército de Bahamut.
ev16_0095_0002;Me pregunto qué les ocurriría.
ev16_0095_0003;Por cierto, Bartz, ¿no serás por casualidad invocadorcito?
ev16_0095_0004;¿Yo? Para nada. Boko tan solo es un buen amigo.
ev16_0095_0005;¡Kué!
ev16_0095_0006;Existen algunos mirages, como chocobos y moguris, que viven en paz junto a los humanos. Bastantes, de hecho.
ev16_0095_0007;Ahora que lo dices, es cierto que hemos visto moguris y chocobos en otros pueblos de Grymoire.
ev16_0095_0008;Y la capitana Faris vive con moguris también.
ev16_0095_0009;Bueno, si tenemos en cuenta que su mejor amigo es una dragona gigante, yo diría que me recuerda más bien a una invocadora.
ev16_0095_0010;¿En serio? Sí que conocéis a gente interesante.
