ev16_0100_0000;Bartz...
ev16_0100_0001;¿Sí?
ev16_0100_0002;¡Baaartz!
ev16_0100_0003;¿Pero qué...?
ev16_0100_0004;Espera. ¿Es el tipo del que nos hablaste?
ev16_0100_0005;Y es tu nombrecito el que grita.
ev16_0100_0006;¿Dónde estás? ¡Da la cara!
ev16_0100_0007;¡Bartz! ¡He venido a vengarme!
ev16_0100_0008;¿Quién... eres?
ev16_0100_0009;¿Eh? ¿Acaso no lo reconoces?
ev16_0100_0010;Llevo esperando este día desde hace... ¿Cuántos años?...
ev16_0100_0011;¿Qué?
ev16_0100_0012;Espera, ¿por qué te estaba buscando?
ev16_0100_0013;¡Y yo qué sé!
ev16_0100_0014;¡Seguro que tú lo sabes!
ev16_0100_0015;¿Eh? ¡Yo no sé nada!
ev16_0100_0016;¿Cuál dirá la bobada más grandecita? ¡Qué interesante!
ev16_0100_0017;Ajá.
ev16_0100_0018;Bah, ahora me saldrá bien. Llevo esperando este día desde hace...
ev16_0100_0019;¡Cien años!
ev16_0100_0020;Vaya, qué número tan redondo...
ev16_0100_0021;Demasiado, como si se lo acabara de inventar.
ev16_0100_0022;¡Nada original!
ev16_0100_0023;¡Y tanto!
ev16_0100_0024;¡A callar se ha dicho!
ev16_0100_0025;Nadie se mofa del gran Gilgamesh y vive para contarlo. ¡A combatir se ha dicho!
ev16_0100_0026;3221225472
