ev16_0110_0000;¡Buaaa!
ev16_0110_0001;¡Todos contra mí! Cobardes, que sois unos cobardes.
ev16_0110_0002;¡Baaartz!
ev16_0110_0003;¡¿Qué pasa?!
ev16_0110_0004;La próxima vez, tú contra mí.
ev16_0110_0005;Va a ser que no, gracias.
ev16_0110_0006;¡Kué!
ev16_0110_0007;Bah... Creo que por hoy ya te he dado lo tuyo.
ev16_0110_0008;¡Hasta la vista!
ev16_0110_0009;¿De dónde han sacado a ese personaje?
ev16_0110_0010;Ni idea.
ev16_0110_0011;Kué...
ev16_0110_0012;Al menos... nos hemos deshecho de él por ahora.
ev16_0110_0013;Eso espero.
ev16_0110_0014;¿Eh?...
