ev17_0195_0000;Por cierto, ¿cómo terminaste trabajando aquí con Cid?
ev17_0195_0001;Digamos que Cid y yo nos conocemos desde hace tiempo, y fue quien me contrató para proteger Villa Papiro.
ev17_0195_0002;¡Meeec!
ev17_0195_0003;Sin embargo, ahora permanezco aquí por otras razones.
ev17_0195_0004;¡Ja!
ev17_0195_0005;3221225472
ev17_0195_0006;Alguien tiene que echarle un cable de vez en cuando.
ev17_0195_0007;Gran parte de la chatarra del Cementerio de trenes terminó así por culpa de los brotes de cólera de Cid.
ev17_0195_0008;Qué fuerte. Ya me parecía extraño que estuviera todo apilado. ¿Fue Cid?
ev17_0195_0009;Cuando se le cruzan los cables se convierte en un coleccionista obsesivo y ataca a lo que se le pone delante.
ev17_0195_0010;Sus víctimas son aleatorias, así que supone un grave peligro.
ev17_0195_0011;Vaya, qué mal...
ev17_0195_0012;Por eso hay que estar pendiente de él, pues podría provocar daños irreparables.
