ev18_0140_0000;¡Ah!
ev18_0140_0001;Snif... Bua...
ev18_0140_0002;¡Buaah! ¿Pingüiqué todos deciden meterse conmigo? ¡Buaaah!
ev18_0140_0003;¡Malas pingüisonas! ¡Fuera!
ev18_0140_0004;Pipipíii, piii...
ev18_0140_0005;Pi, pi, pipipí...
ev18_0140_0006;Vaya, me siento como si hubiera arruinado la fiesta de cumpleaños de una niña pequeña.
ev18_0140_0007;Alegra esa cara. Al menos ahora podemos regresar cuando queramos.
ev18_0140_0008;Antes hemos de dar con la llavecita. Para eso hemos venido, ¿no?
ev18_0140_0009;Cierto, pero ahora sabemos dónde está: los tomberis se la robaron a la pingüirreina.
ev18_0140_0010;¡Ajá! Entonces se encuentra en algún lado de este santuario.
ev18_0140_0011;Eso parece, sí.
ev18_0140_0012;3221225472
