ev19_0010_0000;Capítulo XIX
ev19_0010_0000_1;3221225472
ev19_0010_0000_2;La otra Colina Nonarboleda
ev19_0010_0001;¿Qué es esto?
ev19_0010_0002;Es el sendero que conduce a la Torre de Cristal.
ev19_0010_0003;¿Eh?
ev19_0010_0004;¿Quién...?
ev19_0010_0005;Seguid el sendero y encontraréis las respuestas que buscáis.
ev19_0010_0006;¿Respuestas?
ev19_0010_0007;Sobre Lusse Farna.
ev19_0010_0008;¿Qué?
ev19_0010_0009;Si queréis encontrarla, tendréis que superar la Torre de Cristal.
ev19_0010_0010;Entonces, ¿nuestra madre está allí arriba? ¿Sigue viva?
ev19_0010_0011;Las cuatro llaves en vuestra posesión os permitirán descubrirlo, si tenéis coraje.
ev19_0010_0012;¡Ha desaparecidito! ¿Quién era?
ev19_0010_0013;Vamos, Reynn.
ev19_0010_0014;¡Espera!
ev19_0010_0015;¿A qué?
ev19_0010_0016;¿Por qué nos ha revelado todo eso? Seguro que por alguna razón en concreto.
ev19_0010_0017;Bueno... Y... ¡yo qué sé!
ev19_0010_0018;¿Pretendes rendirte? ¿Después de todo lo que hemos pasado?
ev19_0010_0019;No, es solo que...
ev19_0010_0020;¡Vamos, piensa un poco! Hay algo muy raro sobre Grymoire.
ev19_0010_0021;Pues claro que hay algo raro, empezando por la gente diminuta...
ev19_0010_0022;No me refiero a eso, sino a las profecías... Es como si fuéramos los personajes de una historia.
ev19_0010_0023;Es como si hubieran escrito nuestro destino y lo estuviéramos siguiendo al pie de la letra.
ev19_0010_0024;Para, para, para. Reynn, creo que le estás dando demasiadas vueltas a todo esto.
ev19_0010_0025;Y tú le estás dando más bien pocas.
ev19_0010_0026;Vale, puede que tengas razón en eso.
ev19_0010_0027;Pero no creo que nuestra historia ya esté escrita. ¡Casi morimos en alguna que otra ocasión!
ev19_0010_0028;Si no hubiéramos atrapado tantos mirages no habríamos llegado hasta aquí.
ev19_0010_0029;Lo hemos conseguido por nuestra cuenta. Nada estaba predes... ti... ¿Tama?
ev19_0010_0030;¿Acaso quieres decir <QUOT>predestinado<QUOT>?
ev19_0010_0031;Eso mismo. Nada de esto estaba predesestimado.
ev19_0010_0032;Claro... O prescrito, ¿no?
ev19_0010_0033;Me están chirriando los oiditos...
ev19_0010_0034;Lo que está claro es que no tenemos otra elección.
ev19_0010_0035;(Eiko dijo que era imposible cambiar la profecía.)
ev19_0010_0036;¿Reynn?
ev19_0010_0037;Venga, vamos a la Torre de Cristal.
ev19_0010_0038;¡Eso!
