ev19_0060_0000;¡Uuuf!
ev19_0060_0001;¿Qué tal si te abres, puerta?
ev19_0060_0002;Tú sigue hablándole, a ver si así la convences.
ev19_0060_0003;Algunas puertas son muy cerraditas de mente.
ev19_0060_0004;Oye, que después de todas las cosas que hemos visto, no me extrañaría nada.
ev19_0060_0005;Es imposible.
ev19_0060_0006;Y bastante estúpido.
ev19_0060_0007;¿Qué?
ev19_0060_0008;Tan listo como un mono, vamos.
ev19_0060_0009;Oye, ¡los monos no son tan listos!
ev19_0060_0010;Estos símbolos representan los cuatro elementos, ¿no? Tierra, agua, fuego y aire.
ev19_0060_0011;Es verdad. No se te escapa ni una.
ev19_0060_0012;Nuestra madre nos los enseñó cuando...
ev19_0060_0013;¿Reynn, te acuerdas?
ev19_0060_0014;Mmm, no. No sé por qué he recordado eso.
ev19_0060_0015;Quizá ya hayas estado aquí o vuestra madre se encuentre cerquita.
ev19_0060_0016;¿En serio?
ev19_0060_0017;He dicho <QUOT>quizá<QUOT>.
ev19_0060_0018;Ah, sí... Claro.
ev19_0060_0019;Bueno, ¿y qué decíais que eran estos cuatro símbolos?
ev19_0060_0020;Seguramente estén relacionados con lo que llamamos una tetrabarrera. Cada elementito lo defiende su propio mirage.
ev19_0060_0021;Vaya, que hemos de enfrentarnos al menos a cuatro mirages diferentes.
ev19_0060_0022;Así es.
ev19_0060_0023;Pongámonos manos a la obra entonces. Reynn, ¿qué pasa?
ev19_0060_0024;¿Eh? Sí, tenemos que encontrar a los mirages que defienden los cuatro sellos de los elementos, ¿no?
ev19_0060_0025;No estaba prestando atención y, aun así, lo ha resumido mejor que yo.
ev19_0060_0026;Tú es que tienes la costumbre de irte por las ramitas.
ev19_0060_0027;Normal si es tan listo como un mono, siempre por las ramas.
ev19_0060_0028;Pues los monos son más listos de lo que parece.
ev19_0060_0029;Sí, saben resolver puzles que tú no solucionarías.
ev19_0060_0030;Oye, que seguro que yo también los solucionaría.
ev19_0060_0031;Eso habría que comprobarlo. Algunos monos son capaces de resolver ecuaciones de primer grado.
ev19_0060_0033;¡Qué fuerte!
ev19_0060_0034;(Sé que me acuerdo de este lugar, pero no sé cuándo habré estado aquí.)
