ev20_0010_0000;Capítulo XX
ev20_0010_0000_1;3221225472
ev20_0010_0000_2;Un final carmesí
ev20_0010_0001;¿Es... nuestra madre?
ev20_0010_0001_1;...
ev20_0010_0002;¿Eres tú quien ha reclamado mi presencia?
ev20_0010_0003;¡Arg!
ev20_0010_0004;¿Lann?
ev20_0010_0005;¿Estás bien?
ev20_0010_0006;Por fin llegáis.
ev20_0010_0006_1;...
ev20_0010_0007;...
ev20_0010_0008;¿Eres el rey? ¿De la Federación?
ev20_0010_0009;¿Federación? Qué pintoresco. ¿Es la historia que ha concebido Segwarides?
ev20_0010_0010;En tal caso, que así sea, jovenzuelo. Sí, soy el rey de la Federación de Bahamut, Brandelis.
ev20_0010_0011;¡Es él! El villano que ha sembrado el mal.
ev20_0010_0012;¿Es Lusse Farna quien está encerrada en esa jaula? ¿Qué le has hecho a nuestra madre?
ev20_0010_0013;¿Habéis venido por ella?
ev20_0010_0014;¡¿Qué?!
ev20_0010_0015;Decidme por qué habéis venido hasta aquí.
ev20_0010_0016;Tienes a nuestra madre, ¿no? ¡Libérala!
ev20_0010_0017;Eso, deja que venga con nosotros primero.
ev20_0010_0018;¡Y ya mismito!
ev20_0010_0019;Necios ingenuos...
ev20_0010_0020;¿Por?
ev20_0010_0021;Bueno...
ev20_0010_0022;¡...!
ev20_0010_0023;¡...!
ev20_0010_0024;¿Eh?
ev20_0010_0025;Desempeñaré mi papel.
