ev20_0020_0000;¿Ya? ¿Hemos logrado... vencer?
ev20_0020_0001;¡Chúpate esa! Y yo que pensé que iba a ser más complicado...
ev20_0020_0002;¡Impresionante! Pensad en todas las personas de Grymoire a la que habéis librado de un terrible yugo.
ev20_0020_0003;Seguro que a los aliados de la Federación no les hace tanta gracia.
ev20_0020_0004;...
ev20_0020_0005;¡Oye, Reynn! Tenemos que sacar a mamá de esa jaula.
ev20_0020_0006;Sí, vale. ¿Pero cómo la vamos a abrir?
ev20_0020_0007;¡¿Tú de nuevo?!
ev20_0020_0008;Activadlo.
ev20_0020_0009;¿Cómo dices?
ev20_0020_0010;Tan solo los custodios de mirages pueden usar ese gran portal: el portal Artema.
ev20_0020_0011;Gracias al portal Artema podréis emplear el poder de los cristales, y abrir una simple jaula no os supondrá reto alguno.
ev20_0020_0012;¡...!
ev20_0020_0013;¡...!
ev20_0020_0014;Creo que... me acuerdo...
ev20_0020_0015;El portal... empezó a brillar y... de repente apareció la jaula.
ev20_0020_0016;Eso quiere decir que no es la primera vez que lo veis.
ev20_0020_0017;Sí... No estoy segura, pero creo haber visto este portal.
ev20_0020_0018;Entonces sabéis qué hacer. Activadlo.
ev20_0020_0019;Espera. ¿Quién eres?
ev20_0020_0020;...
ev20_0020_0021;¿...?
ev20_0020_0022;Reynn, ¿por qué das tantos quebraderos de cabeza a Lusse?
ev20_0020_0023;¿Qué? ¡Yo no he hecho nada! ¿Por qué dices esas cosas sobre mí, Hauyn?
ev20_0020_0024;Oye, ya te he dicho que somos como hermanas. ¿Qué tal si me llamas Wyn?
ev20_0020_0025;Je, je. Muy bien, Wyn.
ev20_0020_0026;¿Es... nuestra hermana?
ev20_0020_0027;¿Qué? ¿Acabas de decir <QUOT>hermana<QUOT>?
ev20_0020_0028;No sabía que teníais una hermanita mayor.
ev20_0020_0029;Hablemos del pasado luego. ¡Salvad a Lusse!
ev20_0020_0030;Entonces, ¿es nuestra madre la de la jaula?
ev20_0020_0031;¡Venga! Activemos el cachivache Artema este y destruyamos la jaula.
ev20_0020_0032;¡Ahora mismo!
ev20_0020_0033;¡Mamá!
ev20_0020_0034;¡Mamá!
ev20_0020_0035;Y el final de la profecía se tiñó... de carmesí.
ev20_0020_0035_1;...
ev20_0020_0035_2;...
ev20_0020_0036;¡Mamá!
ev20_0020_0037;¿Eh?
ev20_0020_0038;¿Qué?
ev20_0020_0039;¿Eh?
ev20_0020_0039_1;Pe-pero... ¿Qué...?
ev20_0020_0040;¡Uaaah!
ev20_0020_0041;¿Por qué lo habéis vuelto a hacer?
ev20_0020_0042;¿Quéee?
ev20_0020_0043;¿A qué te refieres?
ev20_0020_0044;Lo habéis activado... otra vez.
ev20_0020_0045;¡Ja, ja, ja! La profecía carmesí se ha cumplido.
ev20_0020_0046;Una obra de teatro ridícula, pero con buen final.
ev20_0020_0047;Enhorabuena. Ya puedes permitir que se desvanezca la ilusión, Ywain.
ev20_0020_0048;Pensé que el tedioso guion de Segwarides jamás llegaría a su fin.
ev20_0020_0049;Te comprendo a la perfección. Si se vuelve a dar el caso, espero que la profecía sea más escueta.
ev20_0020_0050;Je, je, creedme: hasta el más mínimo de los detalles era necesario para que el plan funcionara.
ev20_0020_0051;Je, je, je. ¡Ja, ja, ja!
ev20_0020_0052;Infórmame sobre las cristánimas: ¿a cuánta población hemos cosechado?
ev20_0020_0053;Si tuviera que conjeturar, diría que unas cuatro almas de cada diez.
ev20_0020_0054;¿Tan solo? ¿Después de una centuria?
ev20_0020_0055;He sido selectivo y discreto. Ahora que los protectores vuelven a despertar, hemos tenido suerte de llevar a cabo tal hazaña. Ja, ja, ja.
ev20_0020_0056;3221225472
ev20_0020_0057;¿Qué está pasando? ¡Reynn, dime qué pasa!
ev20_0020_0058;¡Como si yo tuviera alguna idea!
ev20_0020_0059;Wyn, ¿qué significa todo esto? ¿Qué traman?
ev20_0020_0060;...
ev20_0020_0061;¡Aaah!
ev20_0020_0062;¡Aaah!
ev20_0020_0063;¡Arg!
ev20_0020_0064;¡Aaarg!
ev20_0020_0065;¿Qué ocurre?
ev20_0020_0066;¡Oh, no! Tenemos un problemita muy grande.
ev20_0020_0067;¿Cuál?
ev20_0020_0068;Os reconozco. Vosotros sois de la Orden del Círculo.
ev20_0020_0069;¡Vaya! Hacía tiempo que no oía ese apodo.
ev20_0020_0070;¿Acaso nos conocemos de aquella época?
ev20_0020_0071;En tal caso, pertenecería al bando enemigo.
ev20_0020_0072;Entonces te puedes imaginar cuál es nuestro plan: traer los daemonbots a este mundo.
ev20_0020_0073;¡Nooo! ¿Qué-qué-qué vamos a hacer ahora?
ev20_0020_0074;3221225472
ev20_0020_0075;¡Lann! ¡Reynn! Tenéis que... hacer algo. ¡Vamos, rapidito!
ev20_0020_0076;3221225472
ev20_0020_0077;Tama, por favor, cálmate.
ev20_0020_0078;¿Qué se supone que podemos hacer si no sabemos lo que sucede?
ev20_0020_0079;Oh, no... Será el fin de este mundito.
ev20_0020_0080;¿Tama?
ev20_0020_0081;Grrr.
ev20_0020_0081_1;¿Qué narices es eso?
ev20_0020_0082;¡Siento llegar tan tarde!
ev20_0020_0083;Vaya, los protectores se han reunido con la intención de detenernos.
ev20_0020_0084;Demasiado tarde. Los daemonbots han atravesado el portal y la suerte está echada.
ev20_0020_0085;¡Disfrutad del fin de un mundo A! No, mejor aún: ¡del comienzo de algo mucho más maravilloso!
ev20_0020_0086;¡Tenemos que escapar!
ev20_0020_0087;¿Cómo?
ev20_0020_0088;¡Saltad!
ev20_0020_0089;Por fin han llegado.
ev20_0020_0090;Nosotros nos encargamos de ellos.
ev20_0020_0091;¡Entendido!
ev20_0020_0092;Gracias.
ev20_0020_0093;Lann, ¡ve a por nuestra hermana!
ev20_0020_0094;Eh... Vale.
ev20_0020_0094_1;Urg...
ev20_0020_0095;¡Hastalué!
ev20_0020_0096;¿En serio? ¡Qué fuerte!
ev20_0020_0097;¡Salta de una vez!
ev20_0020_0098;¡Aaah!
ev20_0020_0099;Lo has calculado a la perfección.
ev20_0020_0100;Odio la gravedad...
ev20_0020_0101;Menos mal que os he pillado a tiempo.
ev20_0020_0102;Anda, la moza de gafas.
ev20_0020_0103;Me alegro de veros de... ¡¿Cómo me has llamado?!
ev20_0020_0104;Esto... La capitana Faris te llamó así una vez. Creo que Lann tan solo la ha imitado.
ev20_0020_0105;¡Sí, eso!
ev20_0020_0106;Cuando pille a esa pirata...
ev20_0020_0107;Por cierto, nunca llegamos a darte las gracias. Nos ayudaste tanto cuando...
ev20_0020_0108;¿Qué?
ev20_0020_0109;No quiero sonar desagradecida, pero aunque el navío ligero que nos prestaste nos llevó al Inframar...
ev20_0020_0110;Ahora, siempre que oigo agua correr... ¡recuerdo que estuve a punto de morir y me entra un ataque de pánico! ¡Me has marcado de por vida!
ev20_0020_0111;¿Ah, sí? ¿Qué tal si me cuentas esa aventura?
ev20_0020_0112;Hala, ¡qué pasada! ¿Todo este edificio flota? ¡Quiero uno así!
ev20_0020_0113;A mí también me sorprendió la primera vez.
ev20_0020_0114;Este es el cuartel general de la Liga de los S.
ev20_0020_0115;El Jardín de Balamb.
