ev21_0010_0000;Capítulo XXI
ev21_0010_0000_1;3221225472
ev21_0010_0000_2;Caos en Grymoire
ev21_0010_0001;Vale, ¿qué quieres que hagamos ahora?
ev21_0010_0002;Podríamos... Podríamos buscar a Cloud, Squall o Lightning. Quizá pudiésemos echarles una mano con los daemonbots, ¿no crees?
ev21_0010_0003;De acuerdo, pero ¿dónde están? Necesitamos más información.
ev21_0010_0004;Serafie es la mejor para estas cosas.
ev21_0010_0005;¡Un momentito, voy a traerla!
ev21_0010_0006;Sí, sí, hola. Supongo que necesitáis los servicios de Radio macuto, ¿no?
ev21_0010_0007;¿Qué es Radio macuto?
ev21_0010_0008;Radio macuto es mi poder secreto. Me permite acceder a todos los rumores que circulan en mi dominio.
ev21_0010_0009;En un mundo de este tamaño, eso significa que me entero absolutamente de todo.
ev21_0010_0010;¡Hala, qué guay!
ev21_0010_0011;¿Qué? ¿Te parece guay?
ev21_0010_0012;Sí, bueno, es bastante guay.
ev21_0010_0013;¡Yujuuu! ¡Es la primera vez que me dicen que soy guay!
ev21_0010_0014;Bueno, serías más guay si nos informaras de hechos, no solo de rumorcitos.
ev21_0010_0015;Gracias por hurgar en la herida.
ev21_0010_0016;Bueno, entonces ¿puedes probar?
ev21_0010_0017;Sí, claro. Creo que empezaré por acotar la búsqueda a los daemonbots que nos interesan. ¿Os parece?
