ev21_0020_0000;Estos son los últimos rumores.
ev21_0020_0001;Ya está.
ev21_0020_0002;No hay rumores circulando por Radio macuto.
ev21_0020_0003;¿Qué rumores os interesan?
ev21_0020_0004;De Cornelia
ev21_0020_0005;De Nibelheim
ev21_0020_0006;De Fígaro
ev21_0020_0007;De Villa Papiro
ev21_0020_0008;De Besaid
ev21_0020_0009;Una extraña máquina cuadrúpeda se acerca a Cornelia. El Guerrero de la Luz y una valiente joven de cabello rosa tratan de evitar que se aproxime demasiado, pero la cosa no pinta bien...
ev21_0020_0010;¿Os habéis enterado? Por lo visto hay una máquina terrorífica que siembra el pánico en los alrededores de la ciudad. El grupo Soldado, un joven con una espada enorme y una chica con sombrero de vaquero intentan acabar con ella, pero no parece que se les dé muy bien...
ev21_0020_0011;Se dice que en el desierto hay máquinas muy extrañas campando a sus anchas. Hace poco, una de ellas ha perseguido a un mercader. Al final Edgar y sus hombres le salvaron la vida y se refugió en el castillo, pero se llevó el susto más gordo de su vida. Por lo visto hay tantas máquinas de esas que los soldados del rey no dan abasto. ¡Hay que hacer algo!
ev21_0020_0012;¡Lo han vuelto a ver por aquí! Me refiero al famoso tren fantasma que merodea por la zona. ¿Quién sabe cuándo volverá? Se me pone la piel de gallina solo de pensarlo. Por lo visto, Cid y Celes están analizando el patrón de sus ataques, pero no hay muchos avances...
ev21_0020_0013;¿Qué es ese horror mecánico volador? Parece ser que varias personas han sufrido sus ataques, pero está tan arriba que no podemos hacer nada de nada...
