ev21_0045_0000;Una catedral...
ev21_0045_0001;¿Dónde vamos a encontrar una?
ev21_0045_0002;¿Recuerdas aquel pueblo tan raro que vimos? ¿El que decías que te daba <QUOT>mal rollo<QUOT>?
ev21_0045_0003;Sí, el pueblo donde me pediste que no llamase la atención, ¿no?
ev21_0045_0004;Seguro que el edificio de la plaza central era una catedral.
ev21_0045_0005;¡Nos hemos cruzado con muchos lugarcitos parecidos a ese! Debe de haber alguno cerca.
ev21_0045_0006;Quistis dice que hay una en el centro de cada pueblo de la Federación...
ev21_0045_0007;¡Ah! ¿Recordáis ese pueblecito que me ponía la piel de gallina?
ev21_0045_0008;Hemos visto muchos pueblos así. ¡Debe de haber alguno cerquita!
ev21_0045_0009;3221225472
ev21_0045_0010;3221225472
ev21_0045_0011;3221225472
ev21_0045_0012;3221225472
ev21_0045_0013;3221225472
ev21_0045_0014;3221225472
