ev21_0050_0000;Uuuh...
ev21_0050_0001;¿Qué demonios es este lugar?
ev21_0050_0002;¡¿...?!
ev21_0050_0003;Infórmame sobre las cristánimas: ¿a cuánta población hemos cosechado?
ev21_0050_0004;Si tuviera que conjeturar, diría que unas cuatro almas de cada diez.
ev21_0050_0005;¡No puede ser! Los creadores... Estaban...
ev21_0050_0006;Este es el verdadero rostro de la Federación.
ev21_0050_0007;No me caían bien antes, pero esto me da ganas de vomitar.
ev21_0050_0008;Los creadores construyen un mundo mejor.
ev21_0050_0009;Es verdad. Es un mundo mejor... pero solo para la Federación.
ev21_0050_0010;Los creadores pueden vivir el resto de sus vidas en paz, y nunca pasarán hambre.
ev21_0050_0011;En cuanto sus almas se cristalicen y asciendan al castillo de Bahamut, tendrán lo que desean.
ev21_0050_0012;Los cristales no sufren guerras ni necesitan comer.
ev21_0050_0013;Lo único que tienen que hacer es proporcionar energía, así que tienen bastante tiempo libre.
ev21_0050_0014;¿Intentas decirme que Bahamut cumple su palabra? ¡Yo flipo!
ev21_0050_0015;¡Lann está en lo ciertito! Sinceramente, todo esto me repugna.
ev21_0050_0016;Shelke... ¿Tú lo sabías?
ev21_0050_0017;Sí. De hecho, yo estuve en una catedral.
ev21_0050_0018;Qué fuerte...
ev21_0050_0019;Al principio me creía lo que decían y me hice creadora.
ev21_0050_0020;Me admitieron en una catedral... y estuvieron a punto de cristalizar mi alma.
ev21_0050_0021;Pero se produjo un incidente que detuvo el sistema... y aproveché esa oportunidad para escapar.
ev21_0050_0022;Después, Shinra me acogió en su seno, cuando estaba destrozada. Me ayudaron.
ev21_0050_0023;Cuando descubrimos la verdad, nos dimos cuenta de que debíamos hacer algo. Así nació la resistencia contra la Federación.
ev21_0050_0024;Aun así, antes de que el mundo estuviese sumido en este caos, era impensable que pudiéramos acceder a una catedral.
ev21_0050_0025;Pero ahora sabemos que son las puertas de entrada al castillo enemigo.
ev21_0050_0026;¿De verdad?
ev21_0050_0027;Es decir, que esas cadenas... sirven para transportar las cristánimas.
ev21_0050_0028;Así es. Tras convertir en cristal el alma de los creadores, se llevan hasta el castillo a través de las cadenas.
ev21_0050_0029;Pero... Pero ¿cómo vamos a subir hasta allí arriba?
ev21_0050_0030;Bueno... Para poder subir tienes que ser un koloso.
ev21_0050_0031;¿Eh?
ev21_0050_0032;Hauyn me ha explicado cómo funciona. Ella llegó al castillo por la Gran Cadena.
ev21_0050_0033;¿Logró subir?
ev21_0050_0034;Dice que esa ruta fue diseñada por el ejército de Bahamut... Para recorrerla, has de ser koloso y custodio de mirages.
ev21_0050_0035;Entonces...
ev21_0050_0036;Vale. Tenemos que hacerlo.
ev21_0050_0037;¿Lann?
ev21_0050_0038;Vamos, Reynn. Somos los únicos que podemos ascender, ¡no hay más que hablar!
ev21_0050_0039;Ya... Es verdad.
ev21_0050_0040;¡Muy bien! Vamos a por esos Baha-memos. ¡Alguien tiene que salvar este mundo!
ev21_0050_0041;Además... Si somos responsables de todo lo que ha pasado..., ya va siendo hora de que lo arreglemos.
