ev22_0035_0000;Oye, ¿te importa que te pregunte algo un poco raro?
ev22_0035_0001;¿Eh? ¿El qué?
ev22_0035_0002;¿Es cierto que ahora eres tú quien controla los portales además de gestionar nuestros prismáriums?
ev22_0035_0003;¿Cómo que <QUOT>ahora<QUOT>? Por favor. Ya sabes que servidora siempre ha sido responsable de ambas cosas.
ev22_0035_0004;No puedo llevar la Caja prismática a todas partes, pero puedo acceder a ella desde lugares seguros.
ev22_0035_0005;¿Y nos llevas de vuelta a Colina Nonarboleda cuando nos derrotan en un combate?
ev22_0035_0006;¿Eh? Sí, más o menos, gracias a los cristales de regreso que me dio Enna Kros, pero siempre nos llevan de vuelta a Colina Nonarboleda al usarlos.
ev22_0035_0007;Oye, esto es muy raro. ¿A qué vienen todas estas preguntas?
ev22_0035_0008;Ah, es solo que me gusta pensar algunas cosas de vez en cuando.
ev22_0035_0009;¿Eh? ¿En serio?
ev22_0035_0010;(Eso significa que en esta línea temporal, Serafie hace las veces de Tama. Si tengo en mente esto, seré capaz de disimular.)
