ev22_0080_0000;¡Bastaaa!
ev22_0080_0001;¡No! ¡Tienes que controlar tu poder!
ev22_0080_0002;Mamá...
ev22_0080_0003;Mamá, lo siento, yo...
ev22_0080_0004;Cuando lloras, la felicidad se escapa con las lágrimas.
ev22_0080_0005;Vamos, sonríe.
ev22_0080_0006;¡Oh! Aunque su presencia no fuera del todo estable, me resulta curioso que lograseis derrotarlos…
ev22_0080_0007;Lo siento. No pudimos detenerlo.
ev22_0080_0008;¡No te preocupes, es nuestro!
ev22_0080_0009;¡Bien dicho!
ev22_0080_0010;¡Cuidado, puede transformarse!
ev22_0080_0100;3221225472
ev22_0080_0101;3221225472
