ev22_0090_0000;¡Toma!
ev22_0090_0001;¿Hemos ganado?
ev22_0090_0002;No... Todavía no...
ev22_0090_0003;¡Majaderos! ¡Llevo milenios observando de cerca numerosos mundos A! Pero el vuestro fue el primero en el que conseguí progresar de verdad.
ev22_0090_0004;Eso significa... que puedo aplicar mis reglas a vuestro mundo, y estoy muy orgulloso de ellas.
ev22_0090_0005;¡Observad!
ev22_0090_0006;¡¿Lo veis?! ¡Tengo vida infinita y poder sin límites! ¡No hay fuerza alguna que pueda detenerme!
ev22_0090_0007;Ni siquiera los protectores de este mundo A pueden vencerme.
ev22_0090_0008;Así que vosotros elegís. ¿Aceptaréis mis reglas? ¡¿O tendré que ver cómo os quebráis... aplastados por las reglas de mi mundo?!
ev22_0090_0100;3221225472
ev22_0090_0101;3221225472
ev22_0090_0102;3221225472
ev22_0090_0103;3221225472
ev22_0090_0104;3221225472
ev22_0090_0105;3221225472
ev22_0090_0106;3221225472
ev22_0090_0107;3221225472
