ev22_0100_0000;¡Maldición! ¿Habéis terminado?
ev22_0100_0001;Casi... ¡Solo un poco más!
ev22_0100_0002;¿Ya está? Esperaba algo más.
ev22_0100_0003;¡Aaah!
ev22_0100_0004;¿Eh? ¿Reynn?
ev22_0100_0005;Concéntrate... ¡No dejes que la jaula atrape a nadie más que a él!
ev22_0100_0006;¡Vale!
ev22_0100_0007;¡Necios!
ev22_0100_0008;¡Vamooos!
ev22_0100_0009;¡No lo vamos a conseguir!
ev22_0100_0010;Lusse... ¡Ayuda!
ev22_0100_0011;¡Una jaula dentro de una jaula! ¡Imaginad meter jaulas unas en otras!
ev22_0100_0012;¿Papá?
ev22_0100_0013;Reynn, tienes que ser fuerte. No dejes que Lann pierda el control de su poder... Ayúdale.
ev22_0100_0014;¿Mamá?
ev22_0100_0015;Todo irá bien. Si seguís juntos, podréis alcanzar la felicidad.
ev22_0100_0016;Reynn, ¿estás lista?
ev22_0100_0017;¡Sí!
ev22_0100_0018;Ese poder... Es imposible...
ev22_0100_0018_1;...
ev22_0100_0018_2;¡Ah!
ev22_0100_0019;¡Aaah!
ev22_0100_0020;¡Aarg!
ev22_0100_0020_1;...
ev22_0100_0021;¡Uah!
ev22_0100_0022;¡Aaah!
ev22_0100_0023;¡Aaarg!
ev22_0100_0023_1;¡Ah!
ev22_0100_0024;¡Tama!
ev22_0100_0024_1;¡Mmm!...
ev22_0100_0025;¡Ah!
ev22_0100_0026;¡Os mataré!
ev22_0100_0027;¡Cierra la boca!
ev22_0100_0028;¡¿Eh?! ¿Reynn? ¡¿Lann?!
ev22_0100_0029;¡Toma! ¡Úsalos para mantener Grymoire a salvo!
ev22_0100_0030;¡Serafie te dará todos los otros prismáriums!
ev22_0100_0031;¿Qué? ¿Qué queréis decir?
ev22_0100_0032;La díada ya ha hecho bastante daño. Debemos irnos de este mundo de una vez.
ev22_0100_0033;¡No! No podéis...
ev22_0100_0034;Todo irá bien, Wyn. En cuanto nos vayamos, el portal desaparecerá...
ev22_0100_0035;y estos monstruos no volverán a amenazar vuestro mundo.
ev22_0100_0036;Pero... ¿Y vosotros?
ev22_0100_0037;¡Eh! ¡Quiero verte sonreír!
ev22_0100_0038;No dejes que se te escape la felicidad.
ev22_0100_0038_1;...
ev22_0100_0039;¡Tama! Cuida de Wyn y de Grymoire durante nuestra ausencia.
ev22_0100_0040;¡Y muchas gracias por todo!
ev22_0100_0040_1;...
ev22_0100_0041;Toma... esto.
ev22_0100_0041_1;¡Ah!
ev22_0100_0042;Wyn... ¡Todos vosotros! Perdonadnos por haberos hecho pasar por todo esto. ¡Adiós!
ev22_0100_0043;¡Hasta pronto! ¡Portaos bien!
ev22_0100_0044;¡Nos vemos!
ev22_0100_0044_1;¡Pagaréis por esto!...
ev22_0100_0045;Nos trajeron cosas buenas y malas. Y al final no dejaron nada tras ellos.
ev22_0100_0046;Cierto. Esos dos eran un verdadero cataclismo andante.
ev22_0100_0047;Yo también voy a entrenar como un loco para no perder jamás un combate.
ev22_0100_0048;Por favor, ya estás bastante loco así. Bueno... Al menos todo ha acabado bien para Reynn y Lann.
ev22_0100_0049;Sí. Mientras estén juntos, no hay por qué preocuparse.
ev22_0100_0050;Vamos, manos a la obra. Hay mucho por arreglar en Grymoire.
ev22_0100_0051;Cierto.
ev22_0100_0052;¡Hasta luego!
ev22_0100_0053;Gracias a los dos. Ya podéis descansar.
ev22_0100_0054;Bien hecho.
ev22_0100_0055;Ah, casi se me olvida. Os merecéis una recompensa.
ev22_0100_0055_1;...
ev22_0100_0055_2;...
ev22_0100_0056;¿No te da rabia cuando te despides de todo el mundo y luego no acabas de irte nunca? Es lo peor.
ev22_0100_0057;Bah, no pasa nada. Eso es lo que me gusta de esto... Siempre nos quedará Grymoire.
