GIMMICK_GATE_QUESTION;¿Qué quieres hacer?
GIMMICK_GATE_GEMCASE;Acceder a la Caja prismática
GIMMICK_GATE_TELEPORT;Usar el portal
GIMMICK_GATE_CANCEL;Nada
GIMMICK_GATE_CONFIRM_RETURN;¿Quieres regresar a Colina Nonarboleda?
GIMMICK_GATE_YES;Sí
GIMMICK_GATE_NO;No
GIMMICK_GATE_QUESTION_TELEPORT;¿Adónde quieres ir?
GIMMICK_GATE_EXDUNGEON_A;¿Quieres entrar en esta ubicación desconocida?
GIMMICK_GATE_EXDUNGEON_B;¿Quieres entrar en esta ubicación desconocida?
GIMMICK_GATE_EXDUNGEON_C;¿Quieres entrar en esta ubicación desconocida?
GIMMICK_GATE_EXDUNGEON_Z;¿Quieres entrar en esta ubicación desconocida?
GIMMICK_GATE_GEMCASE2;Guardar/Caja prismática
