ITEM_NAME_000;Poción
ITEM_NAME_000_LC01;poción
ITEM_NAME_000_LC02;3221225472
ITEM_NAME_000_LC03;la
ITEM_NAME_000_LC04;una
ITEM_NAME_000_LC05;pociones
ITEM_NAME_000_LC06;3221225472
ITEM_NAME_000_LC07;3221225472
ITEM_NAME_000_LC08;3221225472
ITEM_NAME_000_LC09;3221225472
ITEM_NAME_001;Éter
ITEM_NAME_001_LC01;éter
ITEM_NAME_001_LC02;3221225472
ITEM_NAME_001_LC03;el
ITEM_NAME_001_LC04;un
ITEM_NAME_001_LC05;éteres
ITEM_NAME_001_LC06;3221225472
ITEM_NAME_001_LC07;3221225472
ITEM_NAME_001_LC08;3221225472
ITEM_NAME_001_LC09;3221225472
ITEM_NAME_002;Antídoto
ITEM_NAME_002_LC01;antídoto
ITEM_NAME_002_LC02;3221225472
ITEM_NAME_002_LC03;el
ITEM_NAME_002_LC04;un
ITEM_NAME_002_LC05;antídotos
ITEM_NAME_002_LC06;3221225472
ITEM_NAME_002_LC07;3221225472
ITEM_NAME_002_LC08;3221225472
ITEM_NAME_002_LC09;3221225472
ITEM_NAME_003;Verdura gysahl
ITEM_NAME_003_LC01;verdura gysahl
ITEM_NAME_003_LC02;3221225472
ITEM_NAME_003_LC03;la
ITEM_NAME_003_LC04;una
ITEM_NAME_003_LC05;verduras gysahl
ITEM_NAME_003_LC06;3221225472
ITEM_NAME_003_LC07;3221225472
ITEM_NAME_003_LC08;3221225472
ITEM_NAME_003_LC09;3221225472
ITEM_NAME_004;Cola de fénix
ITEM_NAME_004_LC01;cola de fénix
ITEM_NAME_004_LC02;3221225472
ITEM_NAME_004_LC03;la
ITEM_NAME_004_LC04;una
ITEM_NAME_004_LC05;colas de fénix
ITEM_NAME_004_LC06;3221225472
ITEM_NAME_004_LC07;3221225472
ITEM_NAME_004_LC08;3221225472
ITEM_NAME_004_LC09;3221225472
ITEM_NAME_005;Ultrapoción
ITEM_NAME_005_LC01;ultrapoción
ITEM_NAME_005_LC02;3221225472
ITEM_NAME_005_LC03;la
ITEM_NAME_005_LC04;una
ITEM_NAME_005_LC05;ultrapociones
ITEM_NAME_005_LC06;3221225472
ITEM_NAME_005_LC07;3221225472
ITEM_NAME_005_LC08;3221225472
ITEM_NAME_005_LC09;3221225472
ITEM_NAME_006;Poción X
ITEM_NAME_006_LC01;poción X
ITEM_NAME_006_LC02;3221225472
ITEM_NAME_006_LC03;la
ITEM_NAME_006_LC04;una
ITEM_NAME_006_LC05;pociones X
ITEM_NAME_006_LC06;3221225472
ITEM_NAME_006_LC07;3221225472
ITEM_NAME_006_LC08;3221225472
ITEM_NAME_006_LC09;3221225472
ITEM_NAME_007;Omnipoción
ITEM_NAME_007_LC01;omnipoción
ITEM_NAME_007_LC02;3221225472
ITEM_NAME_007_LC03;la
ITEM_NAME_007_LC04;una
ITEM_NAME_007_LC05;omnipociones
ITEM_NAME_007_LC06;3221225472
ITEM_NAME_007_LC07;3221225472
ITEM_NAME_007_LC08;3221225472
