WorldMapName_01;Colina Nonarboleda
WorldMapName_02;Floresta Esmeralda
WorldMapName_03;Región de Cornelia
WorldMapName_04;Cornelia
WorldMapName_05;Caverna Nébula
WorldMapName_06;Meseta de Vanguardia
WorldMapName_07;Bosque Fatuo
WorldMapName_08;Lago del bosque
WorldMapName_09;Valle Témpano
WorldMapName_10;Refugio de Sherlotta
WorldMapName_11;Precipicio Témpano
WorldMapName_12;Saronia
WorldMapName_13;Muelle de Saronia
WorldMapName_14;Inframar
WorldMapName_15;Costa Irisada
WorldMapName_16;Cañón Dragontino
WorldMapName_17;Región de Babil
WorldMapName_18;Nibelheim
WorldMapName_19;Valle Séptimo
WorldMapName_20;Pantano Viscoso
WorldMapName_21;Desierto
WorldMapName_22;Caravana
WorldMapName_23;Garganta Espectral
WorldMapName_24;Castillo de Fígaro
WorldMapName_25;Prisión subterránea
WorldMapName_26;Reactor Mako 0
WorldMapName_27;Gran Puente
WorldMapName_28;Nocturnia
WorldMapName_29;Villa Papiro
WorldMapName_30;Cementerio de trenes
WorldMapName_31;Nocturnia (estación de tren)
WorldMapName_32;Besaid
WorldMapName_33;Puerto Besaid
WorldMapName_34;Santuario Hundido
WorldMapName_35;Ruinas de Colina Nonarboleda
WorldMapName_36;Torre de Cristal
WorldMapName_37;Jardín de Balamb
WorldMapName_38;Coliseo
WorldMapName_39;Gran Cadena
WorldMapName_40;Confines de Grymoire
WorldMapName_41;Castillo Exnueve
WorldMapName_42;A'gartal
WorldMapName_43;A'gartal
WorldMapName_44;A'gartal
WorldMapName_45;Barriada de Saronia
MAP_NAME_000;Habitación de los gemelos
MAP_NAME_001;Plaza 99
MAP_NAME_002;Galería Norte
MAP_NAME_003;Café Nonarboleda
MAP_NAME_004;Parque Nexus
MAP_NAME_005;Floresta Esmeralda
MAP_NAME_006;Mirador al puente
MAP_NAME_007;Región de Cornelia
MAP_NAME_008;Cactiexprés: Vagón de kolosos
MAP_NAME_009;Cornelia
MAP_NAME_010;Castillo de Cornelia (sala de audiencias)
MAP_NAME_011;Caverna Nébula (primera gruta)
MAP_NAME_012;Caverna Nébula (segunda gruta)
MAP_NAME_013;Caverna Nébula (tercera gruta)
MAP_NAME_014;Caverna Nébula (cuarta gruta)
MAP_NAME_015;Caverna Nébula (gruta oculta)
MAP_NAME_016;Meseta de Vanguardia (primera línea de retaguardia)
MAP_NAME_016_2;Meseta de Vanguardia (segunda línea de retaguardia)
MAP_NAME_016_3;Meseta de Vanguardia (núcleo de la retaguardia)
MAP_NAME_016_4;Meseta de Vanguardia (sendero oculto)
MAP_NAME_017;Bosque Fatuo (primera fronda)
MAP_NAME_017_2;Bosque Fatuo (segunda fronda)
MAP_NAME_017_3;Bosque Fatuo (tercera fronda)
MAP_NAME_017_4;Bosque Fatuo (cuarta fronda)
MAP_NAME_017_5;Bosque Fatuo (quinta fronda)
MAP_NAME_017_6;Bosque Fatuo (sexta fronda)
MAP_NAME_017_7;Bosque Fatuo (séptima fronda)
MAP_NAME_017_8;Bosque Fatuo (octava fronda)
MAP_NAME_017_9;Bosque Fatuo (fronda oculta)
MAP_NAME_018;Lago del bosque (laguna)
MAP_NAME_018_2;Lago del bosque (sendero)
MAP_NAME_019;Valle Témpano
MAP_NAME_020;Refugio de Sherlotta
MAP_NAME_021;Precipicio Témpano (primer tramo)
MAP_NAME_021_2;Precipicio Témpano (segundo tramo)
MAP_NAME_021_3;Precipicio Témpano (tercer tramo)
MAP_NAME_021_4;Precipicio Témpano (cuarto tramo)
MAP_NAME_021_5;Precipicio Témpano (tramo oculto)
MAP_NAME_021_6;Precipicio Témpano (tramo ¿?)
MAP_NAME_025;Saronia
MAP_NAME_026;Saronia (sala regia)
MAP_NAME_027;Barriada
MAP_NAME_028;Muelle de Saronia (primer embarcadero)
MAP_NAME_028_2;Muelle de Saronia (segundo embarcadero)
MAP_NAME_028_3;Muelle de Saronia (tercer embarcadero)
MAP_NAME_028_4;Muelle de Saronia (embarcadero oculto)
MAP_NAME_029;Barco pirata (cubierta)
MAP_NAME_030;Navío veloz (cubierta)
MAP_NAME_031;Gran Corriente
MAP_NAME_032;Cascada al Inframar
MAP_NAME_033;Inframar (catarata)
MAP_NAME_034;Región del Inframar
MAP_NAME_035;Alta Inframar
MAP_NAME_036;Costa Irisada
MAP_NAME_037;Cañón Dragontino (primera garganta)
MAP_NAME_037_2;Cañón Dragontino (segunda garganta)
MAP_NAME_037_3;Cañón Dragontino (tercera garganta)
MAP_NAME_037_4;Cañón Dragontino (cuarta garganta)
